MCC,DESCRIPTION,REQUIRED NAME IN AUTHORIZATION REQUEST / CLEARING RECORD,DESCRIPTION_UZ,DESCRIPTION_RU
3010,KLM (ROYAL DUTCH AIRLINES),KLM AIRLINE,KLM (Qirollik gollandiyalik aviakompaniyasi),KLM (Royal Dutch Airlines)
3011,AEROFLOT,AEROFLOT,Aeroflot,Аэрофлот
3012,QANTAS,QANTAS AIR,Qantas,Qantas
3013,ITA AIRWAYS (FORMERLY ALITALIA),ITA AIRWAYS (FORMERLY ALITALIA),ITA Havower (ilgari Alitaliiya),ITA Airways (ранее Alitalia)
3014,SAUDI ARABIAN AIRLINES,SAUDIA AIR,Saudiya Arabistoni aviakompaniyalari,Саудовская арабская авиакомпания
3015,SWISS INTERNATIONAL AIRLINES,SWISSINTAIR,Shveytsariya Xalqaro aviakompaniyalar,Швейцарские международные авиакомпании
3016,SAS,SAS,Sas,Сас
3017,SOUTH AFRICAN AIRWAYS,SAA AIRWAYS,Janubiy Afrika aviakompaniyasi,Южноафриканские воздушные пути
3018,VARIG (BRAZIL),VARIG,Varig (Braziliya),Вариг (Бразилия)
3019,EASTERN AIRLINES,EASTERN AIR,Sharqiy aviakompaniyalar,Восточные авиакомпании
3020,AIR-INDIA,AIR-INDIA,Havo-Hindiston,Воздушная индийская
3021,AIR ALGERIE,AIR ALGERIE,Havo Jastere,Воздушный Алджир
3022,PHILIPPINE AIRLINES,PAL AIR,Filippin aviakompaniyasi,Филиппинские авиакомпании
3023,MEXICANA,MEXICANA,Meksika,Мексика
3024,PAKISTAN INTERNATIONAL,PAKISTAN AIR,Pokiston Xalqaro,Пакистанский международный
3025,AIR NEW ZEALAND,AIR NZ,Havo Yangi Zelandiya,Air New Zealand
3026,EMIRATES AIRLINES,EMIRATES,Amirliklar aviakompaniyasi,Эмиратс Авиакомпании
3027,UTA/INTERAIR,UTA AIRLINE,Uta / aralashmasi,UTA/Interair
3028,AIR MALTA,AIR MALTA,Havo malta,Воздух Мальта
3029,SN BRUSSELS AIRLINES,SNBRSSLSAIR,SN Bryussel aviakompaniyasi,SN Brussel Airlines
3030,AEROLINEAS ARGENTINAS,AERO ARGENT,Aerolineas Argentinas,Aerolines Argentinas
3031,OLYMPIC AIRWAYS,OLYMPIC AIR,Olimpiya havo yo'llari,Олимпийские воздушные пути
3032,EL AL,EL AL,Ilon,Эль -Ал
3033,ANSETT AIRLINES,ANSETT AIR,Ansett aviakompaniyasi,Ansett Airlines
3034,ETIHAD AIRWAYS,ETIHADAIR,Etihad Airways,Etihad Airways
3035,TAP (PORTUGAL),TAP AIR,Teg (Portugaliya) ga teging,Нажмите (Португалия)
3036,VASP (BRAZIL),VASP AIR,Vasc (Braziliya),VASP (Бразилия)
3037,EGYPTAIR,EGYPTAIR,Misrlik,Египет
3038,KUWAIT AIRWAYS,KUWAIT AIR,Kuvayt-havo yo'llari,Kuwait Airways
3039,AVIANCA,AVIANCA,Avianka,Avianca
3040,GULF AIR (BAHRAIN),GULF AIR,Fors ko'rfazi havo (Bahrayn),Gulf Air (Bahrain)
3041,BALKAN-BULGARIAN AIRLINES,BALKAN AIR,Balkan-Bolgariya aviakompaniyasi,Балкан-бульгарские авиакомпании
3042,FINNAIR,FINNAIR,Finnir,Финнайр
3043,AER LINGUS,AER LINGUS,Aer Lingus,AER Lingus
3044,AIR LANKA,AIR LANKA,Havo qirg'oqlari,Air Lanka
3045,NIGERIA AIRWAYS,NIGERIA AIR,Nigeriya havo yo'llari,Нигерия Airways
3046,CRUZEIRO DO SUL (BRAZIL),CRUZEIRO AIR,Kruzeiro Sul (Braziliya),Cruzeiro do Sul (Бразилия)
3047,TURKISH AIRLINES,TURKISH AIRLINES,Turkish aviakompaniyasi,Турецкие авиакомпании
3048,ROYAL AIR MAROC,AIR MAROC,Qirollik havo marok,Royal Air Maroc
3049,TUNIS AIR,TUNIS AIR,Tunis havo,Тунис воздух
3050,ICELANDAIR,ICELANDAIR,ICELANDAIR,Исланланд
3051,AUSTRIAN AIRLINES,AUSTRIAN AIR,Avstriya aviakompaniyalari,Австрийские авиакомпании
3052,LAN AIRLINES,LAN AIR,LAN Airlines,LAN Airlines
3053,AVIACO (SPAIN),AVIACO AIR,Aviaco (Ispaniya),Авико (Испания)
3054,LADECO (CHILE),LADECO AIR,Ladeco (Chili),Ladeco (чили)
3055,LAB (BOLIVIA),LAB AIR,Laboratoriya (Bolivia),Лаборатория (Боливия)
3056,JET AIRWAYS,JET AIR,Jet-havo yo'llari,Jet Airways
3057,VIRGIN AMERICA,VIR AMER,Virjiniya Amerika,Virgin America
3058,DELTA,DELTA AIR,Delta,Дельта
3059,DBA AIRLINES,DBA AIR,DBA Airlines,DBA Airlines
3060,NORTHWEST,NWA AIR,Shimoli-g'arb,Северо -запад
3061,CONTINENTAL,CONTINENTAL,Qit'a,КОНТИНЕНТАЛЬНЫЙ
3062,HAPAG-LLOYD EXPRESS AIRLINES,HLX AIR,Hapog-lloyd Express aviakompaniyasi,Hapag-Lloyd Express Airlines
3063,US AIRWAYS,USAIRWAYS,AQSh havo yo'llari,US Airways
3064,ADRIA AIRWAYS,ADRIA AIR,Adria Airways,Adria Airways
3065,AIRINTER,AIRINTER,Echim,Воздушная
3066,SOUTHWEST,SOUTHWESTAIR,Janubi-g'arb,Юго -запад
3067,VANGUARD AIRLINES,VANGUARD AIR,Avangard aviakompaniyalari,Авиакомпании Vanguard
3068,AIR ASTANA,AIR ASTANA,Air Astana,Air Astana
3069,SUN COUNTRY AIRLINES,SUNCNTRYAIR,Quyoshli aviakompaniyalar,Sun Country Airlines
3070,FLYDUBAI,FLYDUBAI,Flywubay,Flydubai
3071,AIR BRITISH COLUMBIA,AIR BC,Havo Britaniya Kolumbiya,Air British Columbia
3072,CEBU PACIFIC AIRLINES,CEBU PAC,CEBU TIMKICE Airlines aviakompaniyasi,Cebu Pacific Airlines
3075,SINGAPORE AIRLINES,SINGAPOREAIR,Singapur aviakompaniyalari,Сингапурские авиакомпании
3076,AEROMEXICO,AEROMEXICO,Aeromiko,Aeromexico
3077,THAI AIRWAYS,THAI AIRWAYS,Tailand havo yo'llari,Тайские воздушные пути
3078,CHINA AIRLINES,CHINA AIR,Xitoy aviakompaniyasi,Китай авиакомпании
3079,JETSTAR AIRWAYS,JETSTAR AIR,Jetstar Airways,Jetstar Airways
3080,SWOOP INC,FLYSWOOP,Swowoc Inc,Swoop Inc.
3081,XIAMEN AIRLINES,XIAMEN AIR,Xiammen aviakompaniyalari,Xiamen Airlines
3082,KOREAN AIRLINES,KOREAN AIR,Koreyalik aviakompaniyalar,Корейские авиакомпании
3083,AIR AFRIQUE,AIR AFRIQUE,Havo afrikasi,Воздух африка
3084,EVA AIRWAYS,EVA AIR,Eva Airways,Eva Airways
3085,MIDWEST EXPRESS AIRLINES,MIDWEST EXP,O'rtaWest Express aviakompaniyasi,Авиакомпании Midwest Express
3086,CARNIVAL AIRLINES,CARNIVAL AIR,Karnaval aviakompaniyasi,Карнавальные авиакомпании
3087,METRO AIRLINES,METRO AIR,Metro Airlines,Metro Airlines
3088,CROATIA AIRLINES,CROATIA AIR,Xorvatiya aviakompaniyasi,Хорватия авиакомпании
3089,TRANSAERO,TRANSAERO,Transaero,Трансэро
3090,UNI AIRWAYS CORPORATION,UNIAIR,Universitet Airways Corporation,Uni Airways Corporation
3094,ZAMBIA AIRWAYS,ZAMBIA AIR,Zambiya havo yo'llari,Zambia Airways
3096,AIR ZIMBABWE,AIR ZIMBABWE,Havo zimbabve,Air Zimbabwe
3097,SPANAIR,SPANAIR,Spanir,Промайр
3098,ASIANA AIRLINES,ASIANA AIR,Osiyo aviakompaniyasi,Азиана авиакомпании
3099,CATHAY PACIFIC,CATHAYPACAIR,Catay Tinch okeani,Cathay Pacific
3100,MALAYSIAN AIRLINE SYSTEM,MALAY AIR,Malayziya aviakompaniyasi tizimi,Малайзийская авиационная система
3102,IBERIA,IBERIA AIR,Ibubar,Иберия
3103,GARUDA (INDONESIA),GARUDA AIR,Garuda (Indoneziya),Гаруда (Индонезия)
3106,BRAATHENS S.A.F.E. (NORWAY),BRAATHENS,Brainens S.A.F.e. (Norvegiya),Braathens S.A.F.E. (НОРВЕГИЯ)
3110,WINGS AIRWAYS,WINGS AIR,Wings havo yo'llari,Крылья воздушные пути
3111,BRITISH MIDLAND,BRMIDLANDAIR,Britaniya Midland,Британский Мидленд
3112,WINDWARD ISLAND,WINDWRDISAIR,Shamollash oroli,Остров Виндра
3115,TOWER AIR,TOWERAIR,Tower havo,Башня воздуха
3117,VIASA,VIASA,Vias,Виаса
3118,VALLEY AIRLINES,VALLEY AIR,Vodiy aviakompaniyasi,Valley Airlines
3125,TAN,TAN AIR,Taniqli,Загар
3126,TALAIR,TALAIR,Kir,Талэр
3127,TACA INTERNATIONAL,TACAINTL AIR,Taca International,TACA International
3129,SURINAM AIRWAYS,SURINAM AIR,Surinam aviakompaniyasi,Surinam Airways
3130,SUNWORLD INTERNATIONAL,SUNWORLD AIR,Sunworld International,Sunworld International
3131,VLM AIRLINES,VLM AIR,Vlm aviakompaniyasi,VLM Airlines
3132,FRONTIER AIRLINES,FRONTIER AIR,Chegara aviakompaniyasi,Frontier Airlines
3133,SUNBELT AIRLINES,SUNBELT AIR,Sunbelt aviakompaniyalari,Sunbelt Airlines
3135,SUDAN AIRWAYS,SUDAN AIR,Sudan Airways,Sudan Airways
3136,QATAR AIRWAYS,QATAR AIR,Qatar Airways,Катарские воздушные пути
3137,SINGLETON,SINGLETONAIR,Ayyorona,Синглтон
3138,SIMMONS AIRLINES,SIMMONS AIR,Simmons aviakompaniyalari,Симмонс авиакомпании
3143,SCENIC AIRLINES,SCENIC AIR,Sahna aviakompaniyalari,Живописные авиакомпании
3144,VIRGIN ATLANTIC,VIRGINATLAIR,Bokira Atlantika,Virgin Atlantic
3145,SAN JUAN AIRLINES,SAN JUAN AIR,San Xuan Airlines,Сан -Хуан Авиакомпании
3146,LUXAIR,LUXAIR,Luxair,Luxair
3148,AIR LITTORAL SA,AIRLITTORAL,Air Littal SA,Воздушная литовая сторона Sa
3151,AIR ZAIRE,AIR ZAIRE,Havo zair,Воздух Заир
3154,PRINCEVILLE,PRINCVLLEAIR,Pinxevil,Принсвилль
3156,GO FLY LTD,GOFLY,Pashsha ltd,Иди Флай Лтд
3159,PBA,PBA AIRLINE,Pba,PBA
3161,ALL NIPPON AIRWAYS,ANA AIR,Nipponning barchasi,Все Nippon Airways
3164,NORONTAIR,NORONTAIR,Noronat,Нороронт
3165,NEW YORK HELICOPTER,NY HELI,Nyu-York vertolyot,Нью -Йорк вертолет
3167,AEROCONTINENTE,AEROCONTINEN,Aerocontse,AeroContinente
3170,MOUNT COOK,MT COOK AIR,Tog'li pishiriq,Гору повара
3171,CANADIAN AIRLINES INTERNATIONAL,CANADIAN AIR,Kanada Airlines International,Canadian Airlines International
3172,NATIONAIR,NATIONAIR,Mamlakat,Национальный
3174,JETBLUE AIRWAYS,JETBLUE,JetBlue Airways,JetBlue Airways
3175,MIDDLE EAST AIR,MIDEAST AIR,Yaqin Sharqdagi havo,Ближний Восток воздух
3176,METROFLIGHT AIRLINES,METROFLT AIR,Metrooflight aviakompaniyalari,Metroflight Airlines
3177,AIRTRAN AIRWAYS,AIRTRANAIR,Airtraning havo yo'llari,Airtran Airways
3178,MESA AIR,MESA AIR,Mesa havo,Mesa Air
3180,WESTJET AIRLINES,WESTJETAIR,Westjet aviakompaniyalari,Westjet Airlines
3181,MALEV,MALEV AIR,Malev,Малев
3182,LOT (POLAND),LOT AIR,Lut (Polsha),Лот (Польша)
3183,OMAN AVIATION SERVICES,OMANAIR,Ummon aviatsiya xizmatlari,Оманские авиационные услуги
3184,LIAT,LIAT AIRLINE,Liya,Лиат
3185,LAV (VENEZUELA),LAV AIR,LAV (Venesuela),Лав (Венесуэла)
3186,LAP (PARAGUAY),LAP AIR,Lap (paragvay),Колен (парагвай)
3187,LACSA (COSTA RICA),LACSA AIR,Lacsa (Kosta-Rika),Лакса (Коста -Рика)
3188,VIRGIN EXPRESS,VIRGINEXPAIR,Bokira ekspress,Virgin Express
3190,JUGOSLAV AIR,JUGOSLAV AIR,Yugoslav havo,Югослав воздух
3191,ISLAND AIRLINES,ISLAND AIR,Isoning aviakompaniyasi,Авиакомпания Island Airlines
3193,INDIAN AIRLINES,INDIAN AIR,Hindiston aviakompaniyasi,Индийские авиакомпании
3196,HAWAIIAN AIR,HAWAIIAN AIR,Gavayi havo,Гавайский воздух
3197,HAVASU AIRLINES,HAVASU AIR,Xasusu aviakompaniyasi,Havasu Airlines
3200,GUYANA AIRWAYS,GUYANA AIR,Gayanana aviakompaniyasi,Гайана воздушные пути
3203,GOLDEN PACIFIC AIR,GOLDPAC AIR,Oltin Tinch okeani havo,Золотая Тихоокеанская воздуха
3204,FREEDOM AIR,FREEDOM AIR,Erkinlik havo,Свобода воздух
3206,CHINA EASTERN AIRLINES,CHINEASTAIR,China Sharqiy aviakompaniyalar,Китай восточные авиакомпании
3211,NORWEGIAN AIR SHUTTLE,NORWEGIANAIR,Norvegiya havo qatnovi,Норвежский воздушный шаттл
3212,DOMINICANA,DOMINICA AIR,Dominicana,Домикана
3213,BRAATHENS REGIONAL AIRLINES,BRAATHENS REGIONAL AIR,BRASTENS mintaqaviy aviakompaniyalar,Braathens Regional Airlines
3215,DAN AIR SERVICES,DANAIRSERV,Dan havo xizmatlari,Дэн Air Services
3216,CUMBERLAND AIRLINES,CUMBERLNDAIR,Cumberland Airlines,Cumberland Airlines
3217,CSA,CSA AIRLINE,Chala,CSA
3218,CROWN AIR,CROWN AIR,Toj havosi,Коронный воздух
3219,COPA,COPA AIR,Kopa,Копа
3220,COMPANIA FAUCETT,COMP FAU AIR,Masteriya Facett,Compania Faucett
3221,TRANSPORTES AEROS MILITARES ECUATORIANOS,TAME AIRLINE,Eros Militares Ekuatorianosni tashiydi,Транспортирует эросовые милитары Ecuatorianos
3222,COMMAND AIRWAYS,COMMAND AIR,Buyruq aviakompaniyasi,Командные воздушные пути
3223,COMAIR,COMAIR,Kaira,Комар
3226,SKYWAYS AIR,SKYWAYS AIR,Sky yo'llari havo,Skyways Air
3228,CAYMAN AIRWAYS,CAYMANAIR,Cayman Airways,Cayman Airways
3229,SAETA - SOCIAEDAD ECUATORIANOS DE TRANSPORTES AEREOS,SAETA AIR,Saeta - Ijtimoiy Ijtimoiy Ikuatiyaos de Aereosni tashiydi,Saeta - Sociaedad Ecuatorianos de Transportes Aereos
3231,SAHSA - SERVICIO AEREO DE HONDURAS,SAHSA AIR,Sahsa - Servicio Aereo de gonduras,Sahsa - Servicio aereo de Honduras
3233,CAPITOL AIR,CAPITOL AIR,Kapitol havo,Капитолий воздух
3234,CARIBBEAN AIRLINES,CARIBBEANAIR,Karib dengizi aviakompaniyalari,Карибские авиакомпании
3235,BROCKWAY AIR,BROCKWAY AIR,Brokway havo,Brockway Air
3236,AIR ARABIA AIRLINE,AIR ARABIA,Havo Arab Aviakompaniyasi,Воздушная авиакомпания
3238,BEMIDJI AIRLINES,BEMIDJI AIR,Bemidji aviakompaniyalari,Bemidji Airlines
3239,BAR HARBOR AIRLINES,BARHARBORAIR,Bar harbor aviakompaniyalari,Авиакомпании Bar Harbour Airlines
3240,BAHAMASAIR,BAHAMASAIR,Bahamlarair,Bahamasair
3241,AVIATECA (GUATEMALA),AVIATECA AIR,Aviaca (Gvatemala),Авиатека (Гватемала)
3242,AVENSA,AVENSA AIR,Avensa,Авенса
3243,AUSTRIAN AIR SERVICE,AUST AIRSERV,Avstriya havo xizmati,Австрийский авиационный служба
3245,EASYJET AIRLINES,EASYJET AIR,Easyjet aviakompaniyalari,EasyJet Airlines
3246,RYANAIR,RYANAIR,Ryanair,Ryanair
3247,GOL AIRLINES,GOL AIR,GOL Airlines,GOL Airlines
3248,TAM AIRLINES,TAM AIR,Tam aviakompaniyalari,TAM Airlines
3251,ALOHA AIRLINES,ALOHA AIR,Aloha Airlines,Aloha Airlines
3252,ALM,ALM AIRLINE,Alm,Алм
3254,US AIR SHUTTLE,USAIRSHUTL,AQSh havo qatnovi,США Air Thfttle
3256,ALASKA AIRLINES,ALASKA AIR,Alyaska aviakompaniyasi,Авиакомпании Аляски
3259,AMERICAN TRANS AIR,ATA AIR,Amerikalik tranz havo,American Trans Air
3260,SPIRIT AIRLINES,SPIRIT AIR,Ruhiy aviakompaniyalar,Spirit Airlines
3261,AIR CHINA,AIR CHINA,Havo Xitoy,Воздушный фарфор
3262,"RENO AIR, INC.",RENO AIR,"Reno Air, Inc.","Reno Air, Inc."
3263,AERO SERVICO CARABOBO,ASC AIRLINE,Aero xizmatico Karabobo,Aero Servico Carabobo
3266,AIR SEYCHELLES,AIR SEYCH,Havo Seysheles,Воздушные Сейшельские острова
3267,AIR PANAMA,AIR PANAMA,Havo panama,Воздушная панама
3280,AIR JAMAICA,AIR JAMAICA,Havo Yamayka,Air Jamaica
3282,AIR DJIBOUTI,AIR DJIBOUTI,Havo djonuti,Air Djibouti
3284,AERO VIRGIN ISLANDS,AERVIRGINIS,Aero bokira orollari,Аэро Виргинские острова
3285,AEROPERU,AEROPERU,Aeroperu,Аэроперу
3286,AEROLINEAS NICARAGUENSIS,AERONICARAG,Aeroline bilan bezaraguensen,Aerolineas Nicaraguensis
3287,AERO COACH AVIATION,AEROCOACH AV,Aero murabbiy aviatsiyasi,Аэро -тренер авиация
3292,CYPRUS AIRWAYS,CYPRUS AIR,Kipr-havo yo'llari,Кипр воздушные пути
3293,ECUATORIANA,ECUATORIANA,Ekuchatoriya,Ecuatoriana
3294,ETHIOPIAN AIRLINES,ETHIOPIAN AIR,Efiopiya aviakompaniyasi,Эфиопские авиакомпании
3295,KENYA AIRWAYS,KENYA AIR,Kenya Airways,Кения воздушные пути
3296,AIR BERLIN,AIR BERLIN,Havo berlin,Воздушный Берлин
3297,TAROM ROMANIAN AIR TRANSPORT,TAROM AIR,Tarom Ruminiya havo transporti,Romom Romanian Air Transport
3298,AIR MAURITIUS,AIRMAURITIUS,Havo mauritius,Воздух Маврикий
3299,WIDEROE'S FLYVESELSKAP,WIDEROES,Werioo ning uchib ketganlarKap,WIDEROE'S FLYVELSKAP
3300,AZUL AIR,AZUL AIR,Azul havo,Азул воздух
3301,WIZZ AIR,WIZZ AIR,Wizzli havo,Wizz Air
3302,FLYBE LTD,FLYBEAIR,Flybe ltd,Flybe Ltd
3303,TIGERAIR,TIGERAIR,Yo'linair,Тигро
3308,CHINA SOUTHERN AIRLINES,CHINA SOUTHERN,China janubi aviakompaniyalari,Китай южные авиакомпании
3351,AFFILIATED AUTO RENTAL,,Affillangan avtoulov ijarasi,Аффилированная автоматическая аренда
3352,AMERICAN INTL RENT-A-CAR,,Amerikalik Inson tarafas-avtomobili,Американская Intl Rent-A-Car
3353,BROOKS RENT-A-CAR,,Bruks Ijara-A-avtomobil,Брукс Рент-А-Кара
3354,ACTION AUTO RENTAL,,Auto avtoulov ijarasi,Action Auto Rental
3355,SIXT CAR RENTAL,,Oltmish mashina ijarasi,Прокат автомобиля Sixt
3357,HERTZ,,Hertz,ГЕРЦ
3359,PAYLESS CAR RENTAL,,To'lovsiz avtoulov ijarasi,ПЛАТЕЛЬНАЯ ПЛОНА автомобиля
3360,SNAPPY CAR RENTAL,,Snappy Avtomobil ijarasi,Сканальный прокат автомобилей
3361,AIRWAYS RENT-A-CAR,,Havo yo'llari ijarasi,Airways Rent-A-Car
3362,ALTRA AUTO RENTAL,,ALTRA Auto Ijara,Altra Auto Rental
3364,AGENCY RENT-A-CAR,,Agentlik ijarasi,Агентство Rent-A-Car
3366,BUDGET RENT-A-CAR,,Byudjet ijarasi,Бюджетная аренда-а-автомобиль
3368,HOLIDAY RENT-A-CAR,,Ta'til ijarasi-mashina,Праздничная аренда-а-автомобиль
3370,RENT-A-WRECK,,Ijara-nosh,Rent-A-wreck
3374,ACCENT RENT-A-CAR,,Urg'u ijarasi,Accent Rent-A-Car
3376,AJAX RENT-A-CAR,,Ajax ijara-A-Cart,Ajax Rent-A-Car
3380,TRIANGLE RENT-A-CAR,,Uchburchak ijarasi,Треугольник Rent-A-Car
3381,EUROP CAR,,Europcar,Европкар
3385,TROPICAL RENT-A-CAR,,Tropik Ijara-A-avtomobil,Тропическая аренда-а-автомобиль
3386,SHOWCASE RENTAL CARS,,Chop etish uchun xom ashyolar,Витрина проката автомобилей
3387,ALAMO RENT-A-CAR,,Alamo Ijara-A-avtomobil,Alamo Rent-A-Car
3388,MERCHANTS RENT-A-CAR,,Savdogarlar ijarasi,Торговцы арендуют-а-автомобиль
3389,AVIS RENT-A-CAR,,Avis Ijara-A-avtomobil,Avis Rent-A-Car
3390,DOLLAR RENT-A-CAR,,Dollar ijarasi-avtoulov,Доллар аренда-а-автомобиль
3391,EUROPE BY CAR,,Evropada Evropa,Европа на машине
3393,NATIONAL CAR RENTAL,,Milliy avtoulov ijarasi,Национальный прокат автомобилей
3394,KEMWELL GROUP RENT-A-CAR,,Kemwell Group ijarasi - A-CAR,Kemwell Group Rent-A-Car
3395,THRIFTY CAR RENTAL,,Xursand avtoulov ijarasi,Экологически чистый прокат автомобилей
3396,TILDEN RENT-A-CAR,,Tilendan ijaraga olish,Tilden Rent-A-Car
3398,ECONO-CAR RENT-A-CAR,,Econo-avtomobil ijarasi,Econo-Car Rent-A-Car
3400,AUTO HOST CAR RENTALS,,Avtomatik xost avtomobil ijarasi,Auto Host Host Car Rentals
3405,ENTERPRISE RENT-A-CAR,,Korxona ijarasi,Enterprise Rent-A-Car
3409,GENERAL RENT-A-CAR,,Umumiy ijara-A-avtomobil,Общая аренда-а-автомобиль
3412,A-1 RENT-A-CAR,,A-1 ijarasi-A-Cart,A-1 Rent-A-Car
3414,GODFREY NATL RENT-A-CAR,,Xudbrani Natl ijarasi,Godfrey Natl Rent-A-Car
3420,ANSA INTL RENT-A-CAR,,Ansa intl inf-avto-mashina,ANSA Intl Rent-A-Car
3421,ALLSTATE RENT-A-CAR,,Aldstate ijara-avtomashinasi,Allstate Rent-A-Car
3423,AVCAR RENT-A-CAR,,AVCAR Ijara-A-avtomobil,Avcar Rent-A-Car
3425,AUTOMATE RENT-A-CAR,,Avtomatni avtomatlashtirish,Автоматизируйте Rent-A-Car
3427,AVON RENT-A-CAR,,Avon ijara-A-avtomobil,Avon Rent-A-Car
3428,CAREY RENT-A-CAR,,Karey ijarasi A-CAR,Carey Rent-A-Car
3429,INSURANCE RENT-A-CAR,,Sug'urta ijarasi,Страховая аренда-а-автомобиль
3430,MAJOR RENT-A-CAR,,Katta ijara-avtoulov,Основная аренда-а-автомобиль
3431,REPLACEMENT RENT-A-CAR,,Almashtirishni ijaraga olish,Замена Rent-A-Car
3432,RESERVE RENT-A-CAR,,Zaxira ijaraga olish,Резервная аренда-а-автомобиль
3433,UGLY DUCKLING RENT-A-CAR,,Xunuk o'rdak Ijara-A-avtomobil,Ugly Duckling Rent-A-Car
3434,USA RENT-A-CAR,,AQSh Ijara-A-Cart,USA Rent-A-Car
3435,VALUE RENT-A-CAR,,Qiymat ijarasi,Стоимость Rent-A-Car
3436,AUTOHANSA RENT-A-CAR,,Alayhansa ijara-A-avtomobil,Autohansa Rent-A-Car
3437,CITE RENT-A-CAR,,Ijara-a-avtomobil,Цитировать Rent-A-Car
3438,INTERENT RENT-A-CAR,,Internetda ijaraga berish-avtoulov,Интернет-аренда-а-автомобиль
3439,MILLEVILLE RENT-A-CAR,,Millyevil ijara-A-Cart,Milleville Rent-A-Car
3441,ADVANTAGE RENT-A-CAR,,Afzalligi ijaraga berish,Преимущество Rent-A-Car
3501,HOLIDAY INNS,,Dam olish Inns,Holiday Inns
3502,BEST WESTERN HOTELS,,Eng yaxshi G'arb mehmonxonalari,Лучшие западные отели
3503,SHERATON,,Sheraton,Шератон
3504,HILTON HOTELS,,Xilton mehmonxonalari,Hilton Hotels
3505,FORTE HOTELS,,Fore mehmonxonalari,Форте отели
3506,GOLDEN TULIP HOTELS,,Oltin Tlowip mehmonxonalari,Золотые отели тюльпана
3507,FRIENDSHIP INNS,,Do'stlik mehmonxonasi,"Дружба, гостиница"
3508,QUALITY INNS,,Sifat Inns,Качественные гостиницы
3509,MARRIOTT,,Nikoh,Марриотт
3510,DAYS INNS,,Kunlar Inns,Days Inns
3511,ARABELLA HOTELS,,Arabella mehmonxonalari,Hostels Arabella
3512,INTER-CONTINENTAL HOTELS,,Qit'achilararo mehmonxonalar,Межконтинентальные отели
3513,WESTIN,,G'arbiy,Вестин
3514,AMERISUITES,,Amerikalik,Amerisuites
3515,RODEWAY INNS,,Rodeway Inns,Ехатовые гостиницы
3516,LA QUINTA INN AND SUITES,,L kvinta Inn va Suites,La Quinta Inn и Suites
3517,AMERICANA HOTELS,,Amerika mehmonxonalari,Американские отели
3518,SOL HOTELS,,Sol mehmonxonalari,Sol Hotels
3519,PULLMAN INTERNATIONAL HOTELS,,Pulman xalqaro mehmonxonalar,Pullman International Hotels
3520,MERIDIEN HOTELS,,Meridien mehmonxonalari,Meridien Hotels
