Pathways	HMMs	reactants	products	formula	kegg_module
S-S-04:Sulfite oxidation	aprA.hmm, TIGR00339.hmm	sulfite	sulfate	AMP + sulfite + acceptor = adenylyl sulfate + reduced acceptor [RN:R00860], diphosphate + adenylyl sulfate = ATP + sulfate [RN:R00529]	
S-S-05:Sulfate reduction	aprA.hmm, TIGR00339.hmm	sulfate	sulfite	ATP + sulfate = diphosphate + adenylyl sulfate [RN:R00529], adenylyl sulfate + reduced acceptor = AMP + sulfite + acceptor [RN:R00860]	
S-S-06:Sulfite reduction	asrA.hmm, asrB.hmm, asrC.hmm, dsrA.hmm, dsrB.hmm, dsrD.hmm	sulfite	sulfide	sulfite + a [DsrC protein]-dithiol + 2 reduced acceptor + 2 H+ = hydrogen sulfide + a [DsrC protein]-disulfide + 2 acceptor + 3 H2O  [RN:R00861], dimethyl sulfoxide + menaquinol  = dimethyl sulfide + menaquinone + H2O[RN:R09501]	M00596
S-S-07:Thiosulfate oxidation	soxX.hmm, soxY.hmm, soxZ.hmm, soxA.hmm; soxC.hmm, soxD.hmm	thiosulfate	sulfate	thiosulfate + 5 H2O + 8 ferricytochrome c <=> 2 sulfate + 8 ferrocytochrome c + 10 H+ [RN:R10151]	M00595
S-S-08:Thiosulfate disproportionation 1	thiosulfate_reductase_phsA.hmm	thiosulfate	sulfide, sulfite	thiosulfate + a quinol = sulfite + hydrogen sulfide + a quinone [RN:R11488]	
S-S-09:Thiosulfate disproportionation 2	soxX.hmm, soxY.hmm, soxZ.hmm, soxA.hmm; NO|soxC.hmm, NO|soxD.hmm	thiosulfate	sulfur, sulfate	thiosulfate + 5 H2O + 8 ferricytochrome c <=> 2 sulfate + 8 ferrocytochrome c + 10 H+ [RN:R10151]	
S-S-10:Polysulfide reduction	K16293.hmm, K16294.hmm, K17995.hmm, K17996.hmm	polysulfide		Hydrogen + Polysulfide(n) <=> Hydrogen sulfide + Polysulfide(n-1) [RN:R10390]	
C-S-01:Organic carbon oxidation	K00823.hmm, K07250.hmm, K13524.hmm, K14268.hmm, K03918.hmm, K05825.hmm, K00831.hmm, K00819.hmm, K00821.hmm, K05830.hmm, K00840.hmm, K00826.hmm, K02619.hmm, K03342.hmm, K00812.hmm, K00813.hmm, K11358.hmm, K00832.hmm, K00817.hmm, K00830.hmm, K00129.hmm, K00138.hmm, K13954.hmm, K00001.hmm, K04072.hmm, K00114.hmm, K00002.hmm, K04022.hmm, K22473.hmm, K00249.hmm, K00255.hmm, K06445.hmm, K06446.hmm, K09456.hmm, K09478.hmm, K11410.hmm, K15980.hmm, K18244.hmm, K03381.hmm, K03186.hmm, K01612.hmm, K04112.hmm, K04113.hmm, K04114.hmm, K04115.hmm, K19668.hmm, K01779.hmm, K01188.hmm, K05349.hmm, K05350.hmm, K01209.hmm, K15921.hmm, K01195.hmm, K05989.hmm, K01218.hmm, K19355.hmm, K01811.hmm, K01198.hmm, K01192.hmm, K01190.hmm, K12111.hmm, K12308.hmm, K01176.hmm, K05343.hmm, K07405.hmm, K01178.hmm, K01200.hmm, K01214.hmm, K01183.hmm, K13381.hmm, K01207.hmm, K12373.hmm, K14459.hmm, K00169.hmm, K00001.hmm, K00016.hmm, TIGR02717.hmm, TIGR00016.hmm, TIGR00651.hmm, TIGR02188.hmm, K00656.hmm, methanol_dehydrogenase_pqq_xoxF_mxaF.hmm, TIGR04266.hmm, TIGR02659.hmm, TIGR02658.hmm, TIGR02819.hmm, TIGR02821.hmm, TIGR02818.hmm, TIGR03451.hmm, TIGR03126.hmm, K00123.hmm, K22515.hmm, K00124.hmm, K22516.hmm, K00125.hmm, K03518.hmm, K03519.hmm, K03520.hmm, TIGR03080.hmm, TIGR03079.hmm, TIGR03078.hmm, PF02406.hmm, TIGR04550.hmm, TIGR03256.hmm, TIGR03257.hmm, TIGR03259.hmm	organic carbon	carbon dioxide		
C-S-02:Carbon fixation	rubisco_form_I.hmm, rubisco_form_II.hmm, K14469.hmm, K14468.hmm, K14466.hmm, K18861.hmm, K14467.hmm, K00194.hmm, K00197.hmm, K00198.hmm, acetate_citrate_lyase_aclA.hmm, acetate_citrate_lyase_aclB.hmm	carbon dioxide	organic carbon	D-Ribulose 1,5-bisphosphate + CO2 + H2O <=> 2 3-Phospho-D-glycerate [RN:R00024], 	M00165
C-S-03:Ethanol oxidation	K00001.hmm	ethanol	carbon dioxide	a primary alcohol + NAD+ = an aldehyde + NADH + H+ [RN:R00623]; a secondary alcohol + NAD+ = a ketone + NADH + H+ [RN:R00624]	
C-S-04:Acetate oxidation	TIGR02188.hmm	acetate	carbon dioxide	ATP + acetate + CoA = AMP + diphosphate + acetyl-CoA [RN:R00235]	M00422
C-S-05:Hydrogen generation	fe.hmm, nife-group-3abd.hmm, fefe-group-b.hmm, fefe-group-a13.hmm, nife-group-4a-g.hmm, K00532.hmm	ethanol	hydrogen	H2 + 2 ferricytochrome c3 = 2 H+ + 2 ferrocytochrome c3 [RN:R04015]	
C-S-06:Fermentation	K00169.hmm, K00001.hmm, K00016.hmm, TIGR02717.hmm, TIGR00016.hmm, TIGR00651.hmm, TIGR02188.hmm, K00656.hmm	organic carbon	hydrogen	(S)-lactate + NAD+ = pyruvate + NADH + H+ [RN:R00703], pyruvate + CoA + 2 oxidized ferredoxin = acetyl-CoA + CO2 + 2 reduced ferredoxin + 2 H+ [RN:R01196], ADP + phosphate + acetyl-CoA =ATP + acetate + CoA [RN:R00229], ATP + acetate = ADP + acetyl phosphate [RN:R00315], acetyl-CoA + phosphate = CoA + acetyl phosphate [RN:R00230], ATP + acetate + CoA = AMP + diphosphate + acetyl-CoA [RN:R00235], acetyl-CoA + formate = CoA + pyruvate [RN:R00212]	
C-S-07:Methanogenesis	TIGR03256.hmm, TIGR03257.hmm, TIGR03259.hmm	hydrogen; carbon dioxide, acetate	methane		M00567, M00357, M00356, M00563
C-S-08:Methanotrophy	pmoA.hmm, pmoB.hmm, pmoC.hmm, PF02406.hmm, TIGR04550.hmm	methane	carbon dioxide	methane + quinol + O2 = methanol + quinone + H2O [RN:R09518], methane + NAD(P)H + H+ + O2 = methanol + NAD(P)+ + H2O [RN:R01142 R01143], methanol + 2 ferricytochrome cL <=> formaldehyde + 2 ferrocytochrome cL + 2 H+ [RN:R01146]	M00174
C-S-09:Hydrogen oxidation	fe.hmm, nife-group-3abd.hmm, fefe-group-a2.hmm, nife-group-1.hmm, nife-group-2ade.hmm, nife-group-2bc.hmm, nife-group-4hi.hmm, fefe-group-a4.hmm	hydrogen	water		
C-S-10:Acetogenesis WL	fthfs_NF010030.hmm, K01938.hmm	carbon dioxide	acetate	CO2 + 2 reduced ferredoxin + 2 H+ <=> CO + H2O + 2 oxidized ferredoxin  [RN:R07157],  CO + methyl-Co(III) corrinoid protein + CoA <=> acetyl-CoA + Co(I) corrinoid protein + H+ [RN:R02289+R08433],  5-Methyltetrahydrofolate + CoA + CO <=> Tetrahydrofolate + Acetyl-CoA [RN:R10243], CO2 + NADPH + H+ <=> formate + NADP+ [RN:R00134],  CO2 + Hydrogen <=> formate [RN:R12754],  tetrahydrofolate + formate + ATP <=> ADP + orthophosphate + 10-Formyltetrahydrofolate [RN:R00943],  10-Formyltetrahydrofolate + H+ <=> 5,10-Methenyltetrahydrofolate + H2O [RN:R01655],  5,10-Methenyltetrahydrofolate + NADPH <=> 5,10-Methylenetetrahydrofolate + NADP+ [RN:R01220],  5,10-Methylenetetrahydrofolate + NADH + H+ <=> 5-Methyltetrahydrofolate + NAD+ [RN:R07168], AMP + Diphosphate + Acetyl-CoA <=> ATP + Acetate + CoA [RN:R00235], Acetyl-CoA + Orthophosphate <=> CoA + Acetyl phosphate [RN:R00230], ADP + Acetyl phosphate <=> ATP + Acetate [RN:R00315]	M00377
O-S-01:Iron reduction	MtrA.hmm, MtrB_TIGR03509.hmm, MtrC_TIGR03507.hmm, CymA.hmm, OmcF.hmm, OmcS.hmm, OmcZ.hmm, Ndh2.hmm, DFE_0450.hmm, DFE_0464.hmm	feIII	feII	2 Fe3+ + NADPH <=> 2 Fe2+ + NADP+ + H+ [RN:R09541]	
O-S-02:Iron oxidation	Cyc1.hmm, Cyc2_repCluster1.hmm, Cyc2_repCluster2.hmm, Cyc2_repCluster3.hmm, FoxA.hmm, FoxB.hmm, FoxC.hmm, FoxE.hmm, FoxY.hmm, FoxZ.hmm, MtoA.hmm, sulfocyanin.hmm	feII	feIII	oxygen + 4 Fe2+ + 4 H+ <=> 4 Fe3+ + 2 H2O [RN:R00078]	
O-S-03:Arsenate reduction	arrA.hmm	arsenate	arsenite	arsenate ion + Glutaredoxin <=> arsenite + Glutaredoxin disulfide [RN:]	
O-S-04:Arsenite oxidation	arxA.hmm, aioA.hmm	arsenite	arsenate	arsenite + H2O + 2 oxidized azurin = arsenate + 2 reduced azurin + 2 H+ [RN:R05751]	
O-S-05:Selenate reduction	TIGR03312.hmm, TIGR03313.hmm, TIGR03315.hmm	selenate	selenium	selenate + reduced acceptor = selenite + H2O + acceptor [RN:R07229]	
O-S-06:Aerobic respiration	TIGR02882.hmm, TIGR01432.hmm, TIGR00203.hmm, PF01654.hmm, K02299.hmm, K02298.hmm, TIGR02847.hmm, TIGR01433.hmm, TIGR00782.hmm, TIGR00781.hmm, TIGR00780.hmm, TIGR02866.hmm, TIGR02891.hmm				
P-S-01:Immobilisation (P-rich)	NF033774.1.hmm				
P-S-01:Immobilisation (P-poor)	K02040.hmm				
P-S-02:Mineralisation	K01077.hmm, K01113.hmm, K07093.hmm, K09474.hmm, K03788.hmm, K01078.hmm, K01093.hmm, K01083.hmm, K02044.hmm, K06163.hmm, TIGR03276.1.hmm, TIGR01422.2.hmm, TIGR02335.1.hmm, TIGR02335.1.hmm, TIGR02318.1.hmm, TIGR02326.1.hmm, K06166.hmm, K06165.hmm, K06164.hmm, K05781.hmm, K05780.hmm				
P-S-03:Dissolution	K01507.hmm, K01514.hmm, K00937.hmm, K00117.hmm, K06137.hmm				
