MCC,DESCRIPTION,MASTERCARD_ABBREVIATED_AIRLINE_NAME,DESCRIPTION_UZ,DESCRIPTION_RU
3013,ITA AIRWAYS,ITA SPA,ITA HAVO,ITA Airways
3014,Saudi Arabian Airlines,SAUDI AI,Saudiya Arabistoni aviakompaniyalari,Саудовская арабская авиакомпания
3015,Swiss International Air Lines,SWISS,Shveytsariya xalqaro aviatinalar,Швейцарские международные воздушные линии
3016,Scandinavian Airline System (SAS),SAS,Skandinaviya aviakompaniyasi (SAS),Скандинавская авиационная система (SAS)
3017,South African Airways,SAFRICAN,Janubiy Afrika aviakompaniyasi,Южноафриканские воздушные пути
3018,Varig (Brazil),VARIG,Varig (Braziliya),Вариг (Бразилия)
3019,Eastern Airlines,Eastern,Sharqiy aviakompaniyalar,Восточные авиакомпании
3020,Air India,AIR-INDI,Havo Hindiston,Air India
3021,Air Algerie,AIRALGER,Havo Jastere,Воздушный Алджир
3022,Philippine Airlines,PAL AIR,Filippin aviakompaniyasi,Филиппинские авиакомпании
3023,Mexicana,MEXICANA,Meksika,Мексика
3024,Pakistan International,PAKISTAN,Pokiston Xalqaro,Пакистанский международный
3025,Air New Zealand Limited International,AIR NZ,Air Yangi Zelandiya Limited International,Air New Zealand Limited International
3026,Emirates Airlines,EMIRATES,Amirliklar aviakompaniyasi,Эмиратс Авиакомпании
3027,Union de Transports Aeriens,UTAAIR,Birlik de-DE samolyotlarini tashish,Union de Transports Aeriens
3028,Air Malta,AIRMALTA,Havo malta,Воздух Мальта
3029,SN Brussels Airlines,SNBRU AIR,SN Bryussel aviakompaniyasi,SN Brussel Airlines
3030,Aerolineas Argentinas,AERO ARG,Aerolineas Argentinas,Aerolines Argentinas
3031,Olympic Airways,OLYMPICA,Olimpiya havo yo'llari,Олимпийские воздушные пути
3032,El Al,EL AL,Ilon,Эль -Ал
3033,Ansett Airlines,ANSETT,Ansett aviakompaniyasi,Ansett Airlines
3034,Etihad Airways,ETIHADAIR,Etihad Airways,Etihad Airways
3035,Tap (Portugal),TAP,Teg (Portugaliya) ga teging,Нажмите (Португалия)
3036,VASP (Brazil),VASP,Vasc (Braziliya),VASP (Бразилия)
3037,EgyptAir,EGYPTAIR,Misrlik,Египет
3038,Kuwait Airways,KUWAIT,Kuvayt-havo yo'llari,Kuwait Airways
3039,Avianca,AVIANCA,Avianka,Avianca
3040,Gulf Air (Bahrain),GULF AIR,Fors ko'rfazi havo (Bahrayn),Gulf Air (Bahrain)
3041,Balkan: Bulgarian Airlines,BALKAN,Bolqon: Bolgar Airlines,Балкан: болгарские авиакомпании
3042,Finnair,FINNAIR,Finnir,Финнайр
3043,Aer Lingus,AERLING,Aer Lingus,AER Lingus
3044,Air Lanka,AIR LANKA,Havo qirg'oqlari,Air Lanka
3045,Nigeria Airways,NIGERIA,Nigeriya havo yo'llari,Нигерия Airways
3046,Cruzeiro do Sul (Brazil),CRUZEIRO,Kruzeiro Sul (Braziliya),Cruzeiro do Sul (Бразилия)
3047,Turkish Airlines,THY,Turkish aviakompaniyasi,Турецкие авиакомпании
3048,Royal Air Maroc,AIRMARO,Qirollik havo marok,Royal Air Maroc
3049,Tunis Air,TUNIS AI,Tunis havo,Тунис воздух
3050,Icelandair,ICELANDA,ICELANDAIR,Исланланд
3051,Austrian Airlines,AUSTRIAN,Avstriya aviakompaniyalari,Австрийские авиакомпании
3052,LAN Airlines,LAN AIR,LAN Airlines,LAN Airlines
3053,AVIACO (Spain),AVIACO,Aviaco (Ispaniya),Авико (Испания)
3054,LADECO (Chile),LADECO,Ladeco (Chili),Ladeco (чили)
3055,LAB (Bolivia),LAB,Laboratoriya (Bolivia),Лаборатория (Боливия)
3056,Jet Airways,JET AIR,Jet-havo yo'llari,Jet Airways
3057,Virgin America,VIR AMER,Virjiniya Amerika,Virgin America
3058,Delta,DELTA,Delta,Дельта
3059,DBA Airlines,DBA AIR,DBA Airlines,DBA Airlines
3060,Northwest Airlines,NWA AIR,Shimoliy-g'arbiy aviakompaniyalar,Северо -западные авиакомпании
3061,Continental,CONTINEN,Qit'a,Континентальный
3062,Hapag-Lloyd Express,HLX,Hapog-lloyd ekspress,HAPAG-LLOYD Express
3063,U.S. Airways,USAIRWYS,U.S. AQSh havo yo'llari,США воздушные пути
3064,Adria Airways,ADRIA AIR,Adria Airways,Adria Airways
3065,Air Inter,AIRINTER,Air,Воздушный интерф
3066,Southwest Airlines,SOUTHWES,Janubi-g'arbiy aviakompaniyalar,Юго -западные авиакомпании
3067,Vanguard Airlines,VANGUARD,Avangard aviakompaniyalari,Авиакомпании Vanguard
3068,Air Astana,AIRSTANA,Air Astana,Air Astana
3069,Sun Country Airlines,SUNCNTRY,Quyoshli aviakompaniyalar,Sun Country Airlines
3070,Fly Dubai,FLYDUBAI,Chivin dubay,Летать Дубай
3071,Air British Columbia,AIR B R C,Havo Britaniya Kolumbiya,Air British Columbia
3072,Cebu Pacific,CEBU PAC,CEBU Tinch okeanining,Cebu Pacific
3075,Singapore Airlines,SINGAPOR,Singapur aviakompaniyalari,Сингапурские авиакомпании
3076,Aeromexico,AEROMEXI,Aeromiko,Aeromexico
3077,Thai Airways,THAIAIRW,Tailand havo yo'llari,Тайские воздушные пути
3078,China Airlines,CHINAAIR,Xitoy aviakompaniyasi,Китай авиакомпании
3079,Jetstar Airways,JETSTAR,Jetstar Airways,Jetstar Airways
3080,Swoop Inc.,SWOOP,Swoop Inc.,Swoop Inc.
3081,Xiamen Airlines,XIAMENAIR,Xiammen aviakompaniyalari,Xiamen Airlines
3082,Korean Airlines,KOREAN,Koreyalik aviakompaniyalar,Корейские авиакомпании
3083,Air Afrique,AIR AFRIQ,Havo afrikasi,Воздух африка
3084,Eva Airways,EVA AIR,Eva Airways,Eva Airways
3085,Midwest Express Airlines,MIDWEST,O'rtaWest Express aviakompaniyasi,Авиакомпании Midwest Express
3087,Metro Airlines,METROAI,Metro Airlines,Metro Airlines
3088,Croatia Air,CROATIA,Xorvatiya havo,Хорватия воздух
3089,Transaero,TRANSAERO,Transaero,Трансэро
3090,Uni Airways,UNIAIR,UNI AAVRO,Uni Airways
3094,Zambia Airways,ZAMBIA A,Zambiya havo yo'llari,Zambia Airways
3096,Air Zimbabwe,AIRZIMBA,Havo zimbabve,Air Zimbabwe
3097,Spanair,SPANAIR,Spanir,Промайр
3098,Asiana Airlines,ASIANA,Osiyo aviakompaniyasi,Азиана авиакомпании
3099,Cathay Pacific,CATHAYPA,Catay Tinch okeani,Cathay Pacific
3100,Malaysian Airline System,MALAY AI,Malayziya aviakompaniyasi tizimi,Малайзийская авиационная система
3102,Iberia,IBERIA,Ibubar,Иберия
3103,Garuda (Indonesia),GARUDA,Garuda (Indoneziya),Гаруда (Индонезия)
3106,Braathens S.A.F.E. (Norway),BRAATHEN,Brainens S.A.F.e. (Norvegiya),Braathens S.A.F.E. (Норвегия)
3111,British Midland,BRITISH M,Britaniya Midland,Британский Мидленд
3112,Windward Island,WINDWARD,Shamollash oroli,Остров Виндра
3117,Venezolana International de Aviacion,VIASA,Venezolana Internationale ANACIION,Venezolana International de Aviacion
3125,Tan Airlines,TAN AIR,Tan Airlines,Tan Airlines
3127,Taca International,TACA INT,Taca International,TACA International
3129,Surinam Airways,SURINAM,Surinam aviakompaniyasi,Surinam Airways
3130,Sunworld International Airways,SUNWORLD,Sunworld International Airways,Sunworld International Airways
3131,VLM Airlines,VLM,Vlm aviakompaniyasi,VLM Airlines
3132,Frontier Airlines,FRONTIER,Chegara aviakompaniyasi,Frontier Airlines
3136,Qatar Airways Company W.L.L.,QATAR AIR,Qatar Airways kompaniyasi W.L.L.,Компания Qatar Airways W.L.L.
3144,Virgin Atlantic,VIR ATL,Bokira Atlantika,Virgin Atlantic
3146,Luxair,LUXAIR,Luxair,Luxair
3148,"Air Littoral, S.A.",LITTORAL,"Air Littal, S.A.","Air Littoral, S.A."
3151,Air Zaire,AIRZAIRE,Havo zair,Воздух Заир
3156,GO FLY Ltd.,GOFLY,Pashsha ltd.,Go Fly Ltd.
3159,Provincetown-Boston Airways,PBA,Provincetwn-Boston Airways,Provincetown-Boston Airways
3161,All Nippon Airways,ANAAIR,Nipponning barchasi,Все Nippon Airways
3164,Norontair,NORONTAI,Noronat,Нороронт
3167,Aero Continente,AERO CONT,Aero qit'a,Aero Contonente
3171,Canadian Airlines,CANADIAN,Kanada aviakompaniyalari,Канадские авиакомпании
3172,Nation Air,NATIONAI,Millat havo,Национальный воздух
3174,JetBlue Airways,JETBLUE,JetBlue Airways,JetBlue Airways
3175,Middle East Air,MIDEASTA,Yaqin Sharqdagi havo,Ближний Восток воздух
3177,AirTran Airways,AIRTRAN A,Airtraning havo yo'llari,Airtran Airways
3178,Mesa Air,MESA AIR,Mesa havo,Mesa Air
3180,Westjet Airlines,WESTJET,Westjet aviakompaniyalari,Westjet Airlines
3181,Malev Hungarian Airlines,MALEV,Malev Venger Airlines,Малев Венгерские авиакомпании
3182,LOT - Polish Airlines,LOT,Lut - Polsha aviakompaniyalari,Лот - польские авиакомпании
3183,Oman Aviation Services,OMAN AIR,Ummon aviatsiya xizmatlari,Оманские авиационные услуги
3184,LIAT,LIAT,Liya,Лиат
3185,LAV Linea Aeropostal Venezolana,LAV,Laval Linea Aeropostal Venezola,Lav Linea Aeropostal Venezolana
3186,LAP Lineas Aereas Paraguayas,LAP,Lineas aerey paragvayas,LAP LINEAS AEREAS PARAGUAYAS
3187,LACSA (Costa Rica),LACSA,Lacsa (Kosta-Rika),Лакса (Коста -Рика)
3188,Virgin Express,VIR EXP,Bokira ekspress,Virgin Express
3190,Jugoslav Air,JUGOSLAV,Yugoslav havo,Югослав воздух
3191,Island Airlines,ISLANDAI,Isoning aviakompaniyasi,Авиакомпания Island Airlines
3193,Indian Airlines,INDIAN A,Hindiston aviakompaniyasi,Индийские авиакомпании
3196,Hawaiian Air,HAWAIIAN,Gavayi havo,Гавайский воздух
3197,Havasu Airlines,HAVASUAI,Xasusu aviakompaniyasi,Havasu Airlines
3200,Guyana Airways,GUYANA A,Gayanana aviakompaniyasi,Гайана воздушные пути
3204,Freedom Airlines,FREEDOM,Ozodlikdagi aviakompaniyalar,Freedom Airlines
3206,China Eastern Airlines,CHINAEAST,China Sharqiy aviakompaniyalar,Китай восточные авиакомпании
3211,Norwegian Air Shuttle,NORWEGIAN,Norvegiya havo qatnovi,Норвежский воздушный шаттл
3212,Dominicana de Aviacion,DOMINICA,Dominikana de hayakzi,Домикана де Авиация
3213,Braathens Regional Airlines,BRAATHENS,BRASTENS mintaqaviy aviakompaniyalar,Braathens Regional Airlines
3217,CSA Ceskoslovenske Aerolinie,CSA,CSA Ceskoslovenske Aerolinie,CSA Ceskoslovenske Aerolinie
3219,Compania Panamena de Aviacion (Copa),COPA,Sheron Panamena de Suriyenion (Copa),Compania Panamena de Aviacion (Copa)
3220,Compania Faucett,COMPANIA,Masteriya Facett,Compania Faucett
3221,Transportes Aeros Militares Ecuatorianos,TAME AIR,Eros Militares Ekuatorianosni tashiydi,Транспортирует эросовые милитары Ecuatorianos
3222,Command Airways,COMMAND,Buyruq aviakompaniyasi,Командные воздушные пути
3223,Comair,COMAIR,Kaira,Комар
3226,Skyways,SKYWAYS,Osmonga o'xshagan,Скайвей
3228,Cayman Airways,CAYMANAIR,Cayman Airways,Cayman Airways
3229,SAETA (Sociedad Ecuatorianas De Transportes Aereo),SAETAAIR,"Saeta (SivuadDoad Ekuatiyaas de, Aereo)",Saeta (Sociedad Ecuatorianas de Transportes Aereo)
3231,SAHSA (Servicio Aero de Honduras),SAHSA,Sasha (servicio aéreo de gonduras),Саша (Servicio Aéreo de Honduras)
3234,Caribbean Airlines,CARIBBEAN,Karib dengizi aviakompaniyalari,Карибские авиакомпании
3236,Air Arabia Airline,AIR ARAB,Havo Arab Aviakompaniyasi,Воздушная авиакомпания
3239,Bar Harbor Airlines,BARHARBO,Bar harbor aviakompaniyalari,Авиакомпании Bar Harbour Airlines
3240,Bahamasair,BAHAMASA,Bahamlarair,Bahamasair
3241,Aviateca (Guatemala),AVIATECA,Aviaca (Gvatemala),Авиатека (Гватемала)
3242,Avensa,AVENSA,Avensa,Авенса
3243,Austrian Air Service,AUSTRAIR,Avstriya havo xizmati,Австрийский авиационный служба
3245,EasyJet,EASYJET,Eyekjet,Easyjet
3246,Ryanair,RYANAIR,Ryanair,Ryanair
3247,Gol Airlines,GOL,GOL Airlines,GOL Airlines
3248,Tam Airlines,TAM,Tam aviakompaniyalari,TAM Airlines
3252,ALM Antilean Airlines,ALM,ALM ARILLANI AIRGENELAR,Alm Antillean Airlines
3253,America West,AMERWEST,Amerika G'arb,Америка Запад
3256,Alaska Airlines Inc.,ALASKA A,Alyaska Airlines Inc.,Alaska Airlines Inc.
3260,Spirit Airlines,SPIRIT,Ruhiy aviakompaniyalar,Spirit Airlines
3261,Air China,AIR CHINA,Havo Xitoy,Воздушный фарфор
3263,Aero Servicio Carabobo,ASERCA,Aero servicio Karabobo,Aero servicio carabobo
3266,Air Seychelles,AIR SEYC,Havo Seysheles,Воздушные Сейшельские острова
3267,Air Panama International,AIR PANA,Air Panama International,Air Panama International
3280,Air Jamaica,AIR JAMA,Havo Yamayka,Air Jamaica
3282,Air Djibouti,AIR DJIB,Havo djonuti,Air Djibouti
3285,Aero Peru,AEROPERU,Aero peru,Аэро -Перу
3286,Aero Nicaraguenses,AERO NIC,Aero Nikaragueninges,Aero nicaraguess
3287,Aero Coach Aviation,AEROCOAC,Aero murabbiy aviatsiyasi,Аэро -тренер авиация
3292,Cyprus Airways,CYPRUSA,Kipr-havo yo'llari,Кипр воздушные пути
3293,Ecuatoriana,ECUATORI,Ekuchatoriya,Ecuatoriana
3294,Ethiopian Airlines,ETHIOPIA,Efiopiya aviakompaniyasi,Эфиопские авиакомпании
3295,Kenya Airways,KENYAAIR,Kenya Airways,Кения воздушные пути
3296,Air Berlin,AIRBERLIN,Havo berlin,Воздушный Берлин
3297,Tarom Romanian Air Transport,TAROM AIR,Tarom Ruminiya havo transporti,Romom Romanian Air Transport
3298,Air Mauritius,AIRMAURI,Havo mauritius,Воздух Маврикий
3299,Wideroes Flyveselskap,WIDEROES,Kengliklar uchib ketadi,Wideroes FlyveSelkap
3300,Azul Brazilian Airlines,AZUL AIR,Azul Braziliya aviakompaniyasi,Авиакомпании Азула Бразилии
3301,Wizz Airlines,WIZZ AIR,Wizzli aviakompaniyalar,Wizz Airlines
3302,Flybe LTD,FLYBEAIR,Flybe ltd,Flybe Ltd
3303,Tigerair,TIGERAIR,Yo'linair,Тигро
3308,China Southern,CSAIR,Xitoy janubi,Китай Южный
3351,Affiliated Auto Rental,,Affillangan avtoulov ijarasi,Аффилированная автоматическая аренда
3352,American International,,Amerika xalqaro xalqaro miqyosida,American International
3353,Brooks Rent-A-Car,,Bruks Ijara-A-avtomobil,Брукс Рент-А-Кара
3354,Action Auto Rental,,Auto avtoulov ijarasi,Action Auto Rental
3355,SIXT Car Rental,,Oltmish mashina ijarasi,Прокат автомобиля Sixt
3357,Hertz,,Hertz,Герц
3359,Payless Car Rental,,To'lovsiz avtoulov ijarasi,ПЛАТЕЛЬНАЯ ПЛОНА автомобиля
3360,Snappy Car Rental,,Snappy Avtomobil ijarasi,Сканальный прокат автомобилей
3361,Airways Rent-A-Car,,Havo yo'llari ijarasi,Airways Rent-A-Car
3362,Altra Auto Rental,,ALTRA Auto Ijara,Altra Auto Rental
3364,Agency Rent-A-Car,,Agentlik ijarasi,Агентство Rent-A-Car
3366,Budget Rent-A-Car,,Byudjet ijarasi,Бюджетная аренда-а-автомобиль
3368,Holiday Rent-A-Car,,Ta'til ijarasi-mashina,Праздничная аренда-а-автомобиль
3370,Rent A Wreck,,Vayronagarchilikni ijaraga oling,Аренда за крушение
3374,Accent Rent-A-Car,,Urg'u ijarasi,Accent Rent-A-Car
3376,Ajax Rent-A-Car,,Ajax ijara-A-Cart,Ajax Rent-A-Car
3380,Triangle Rent-A-Car,,Uchburchak ijarasi,Треугольник Rent-A-Car
3381,Europcar,,Europcar,Европкар
3385,Tropical Rent-A-Car,,Tropik Ijara-A-avtomobil,Тропическая аренда-а-автомобиль
3386,Showcase Rental Cars,,Chop etish uchun xom ashyolar,Витрина проката автомобилей
3387,Alamo Rent-A-Car,,Alamo Ijara-A-avtomobil,Alamo Rent-A-Car
3388,Merchants Rent-A-Car,,Savdogarlar ijarasi,Торговцы арендуют-а-автомобиль
3389,Avis Rent-A-Car,,Avis Ijara-A-avtomobil,Avis Rent-A-Car
3390,Dollar Rent-A-Car,,Dollar ijarasi-avtoulov,Доллар аренда-а-автомобиль
3391,Europe By Car,,Evropada Evropa,Европа на машине
3393,National Car Rental,,Milliy avtoulov ijarasi,Национальный прокат автомобилей
3394,Kemwell Group Rent-A-Car,,Kemwell Group ijarasi - A-CAR,Kemwell Group Rent-A-Car
3395,Thrifty Car Rental,,Xursand avtoulov ijarasi,Экологически чистый прокат автомобилей
3396,Tilden Rent-A-Car,,Tilendan ijaraga olish,Tilden Rent-A-Car
3398,Econo Car Rent-A-Car,,Econo avtomobili ijarasi,Econo Car Rent-A-Car
3400,Auto Host Car Rental,,Avtomatik qabul qiluvchi mashina ijarasi,Прокат автомобилей автомобиля
3405,Enterprise Rent-A-Car,,Korxona ijarasi,Enterprise Rent-A-Car
3409,General Rent-A-Car,,Umumiy ijara-A-avtomobil,Общая аренда-а-автомобиль
3412,A1 Rent-A-Car,,A1 ijara-avtomashinada,A1 Rent-A-Car
3420,ANSA International,,Ansa Internation,ANSA International
3421,Allstate Rent-A-Car,,Aldstate ijara-avtomashinasi,Allstate Rent-A-Car
3423,Avcar Rent-A-Car,,AVCAR Ijara-A-avtomobil,Avcar Rent-A-Car
3425,Automate Rent-A-Car,,Avtomatni avtomatlashtirish,Автоматизируйте Rent-A-Car
3427,Avon Rent-A-Car,,Avon ijara-A-avtomobil,Avon Rent-A-Car
3428,Carey Rent-A-Car,,Karey ijarasi A-CAR,Carey Rent-A-Car
3429,Insurance Rent-A-Car,,Sug'urta ijarasi,Страховая аренда-а-автомобиль
3430,Major Rent-A-Car,,Katta ijara-avtoulov,Основная аренда-а-автомобиль
3431,Replacement Rent-A-Car,,Almashtirishni ijaraga olish,Замена Rent-A-Car
3432,Reserve Rent-A-Car,,Zaxira ijaraga olish,Резервная аренда-а-автомобиль
3433,Ugly Duckling Rent-A-Car,,Xunuk o'rdak Ijara-A-avtomobil,Ugly Duckling Rent-A-Car
3434,USA Rent-A-Car,,AQSh Ijara-A-Cart,USA Rent-A-Car
3435,Value Rent-A-Car,,Qiymat ijarasi,Стоимость Rent-A-Car
3436,Autohansa Rent-A-Car,,Alayhansa ijara-A-avtomobil,Autohansa Rent-A-Car
3438,Interent Rent-A-Car,,Internetda ijaraga berish-avtoulov,Интернет-аренда-а-автомобиль
3439,Milleville Rent-A-Car,,Millyevil ijara-A-Cart,Milleville Rent-A-Car
3441,Advantage Rent-A-Car,,Afzalligi ijaraga berish,Преимущество Rent-A-Car
3501,Holiday Inns,,Dam olish Inns,Holiday Inns
3502,Best Western Hotels,,Eng yaxshi G'arb mehmonxonalari,Лучшие западные отели
3503,Sheraton (Sheraton Hotels),,Sheraton (sheraton mehmonxonalari),Шератон (отели Sheraton)
3504,Hilton,,Xilton,Хилтон
3505,Forte Hotels,,Fore mehmonxonalari,Форте отели
3506,Golden Tulip Hotels,,Oltin Tlowip mehmonxonalari,Золотые отели тюльпана
3507,Friendship Inns,,Do'stlik mehmonxonasi,"Дружба, гостиница"
3508,Quality Inns,,Sifat Inns,Качественные гостиницы
3509,Marriott,,Nikoh,Марриотт
3510,Days Inns,,Kunlar Inns,Days Inns
3511,Arabella Hotels,,Arabella mehmonxonalari,Hostels Arabella
3512,Intercontinental Hotels,,InterContinental mehmonxonalar,Межконтинентальные отели
3513,Westin (Westin Hotels),,Westin (Westin mehmonxonalari),Вестин (Westin Hotels)
3514,Amerisuites,,Amerikalik,Amerisuites
3515,Rodeway Inns,,Rodeway Inns,Ехатовые гостиницы
3516,LaQuinta Inns,,Laquinta Inns,Laquinta Inns
3517,Americana Hotels,,Amerika mehmonxonalari,Американские отели
3518,Sol Hotels,,Sol mehmonxonalari,Sol Hotels
3519,Pullman International Hotels,,Pulman xalqaro mehmonxonalar,Pullman International Hotels
3520,Meridien Hotels,,Meridien mehmonxonalari,Meridien Hotels
3521,Royal Lahaina Resort,,Qirol Lahaina kurort,Royal Lahaina Resort
3522,Tokyo Hotel,,Tokio mehmonxonasi,Токийский отель
3523,Peninsula Hotels,,Yarim orol mehmonxonalari,Полуостров
3524,WelcomGroup Hotels,,Mehmonxonalarni kutib olish,Welcomgroup Hotels
3525,Dunfey Hotels,,Dunfey mehmonxonalari,Dunfey Hotels
3526,Prince Hotels,,Shahzoda mehmonxonalari,Принц отели
3527,Downtowner Passport,,Shahar markaziy pasporti,ПАСПОРТ ПАСПОРТА
3528,Red Lion Inns,,Qizil sherli Inns,Red Lion Inns
3529,CP (Canadian Pacific) Hotels,,CP (Kanada Tinch okeani) mehmonxonalar,CP (Canadian Pacific) отели
3530,Renaissance Hotels,,Uyg'onishnik mehmonxonalar,Ренессанс отели
3531,Kauai Coconut Beach Resort,,Kauai hindiston yong'og'i kurortida,Kauai Coconut Beach Resort
3532,Royal Kona Resort,,Qirollik Kona kurorti,Royal Kona Resort
3533,Hotel Ibis,,Ibis mehmonxonasi,Отель ibis
3534,Southern Pacific Hotel,,Janubi-Tinch okeani mehmonxonasi,Южная Тихоокеанская отель
3535,Hilton International,,Xilton International,Hilton International
3536,AMFAC Hotels,,Amfac mehmonxonalari,Amfac Hotels
3537,ANA Hotels,,Aa mehmonxonalari,Ана отели
3538,Concorde Hotels,,Concorde mehmonxonalari,Concorde Hotels
3539,Summerfield Suites Hotel,,Yozgi maydoni mehmonxona,Summerfield Suites Hotel
3540,Iberotel Hotels,,Ibertotel mehmonxonalari,Иберотел отелей
3541,Hotel Okura,,Okura mehmonxonasi,Отель Окура
3542,Royal Hotels,,Royal mehmonxonalari,Королевские отели
3543,Four Seasons Hotels,,To'rt fasl mehmonxonasi,Четыре сезона отелей
3544,Ciga Hotels,,Ciga mehmonxonalari,Сига -отели
3545,Shangri-La International,,Shangri-La International,Shangri-La International
3546,Hotel Sierra,,Sierra mehmonxonasi,Отель Sierra
3547,Breakers Resort,,Bulutchilar kurorti,Breakers Resort
3548,Hotels Melia,,Melia mehmonxonalar,Отели Melia
3549,Auberge des Governeures,,Birgar ishlaydigan boshqaruvlar,Auberge des gaternery
3550,Regal 8 Inns,,Real 8 Inns,Regal 8 Inns
3551,Mirage Hotel and Casino,,Miragh mehmonxonasi va Casino,Мираж отель и казино
3552,Coast Hotel,,Sohil mehmonxonasi,Coast Hotel
3553,Park Inn by Radisson,,Radiasson,Park Inn от Radisson
3554,Pinehurst Resort,,Pinxursh kurort,Pinehurst Resort
3555,Treasure Island Hotel and Casino,,Xazinaning orol mehmonxonasi va kazino,Отель и казино на остров сокровища
3556,Barton Creek Resort,,Barton Krik kurorti,Barton Creek Resort
3557,Manhattan East Suite Hotels,,Manxetten Sharqiy Suite mehmonxonalari,Манхэттен -Ист -Сюита отели
3558,Jolly Hotels,,Jolli mehmonxonalar,Веселые отели
3559,Candlewood Suites,,Shamdonlar uchun mos keladi,Сюэты свечи
3560,Aladdin Resort and Casino,,Aladdin kurorti va kazino,Aladdin Resort и Casino
3561,Golden Nugget,,Golden Nugget,Золотой самородок
3562,Comfort Inns,,Tasalli berish,Comfort Inns
3563,Journey's End Motels,,Safarning oxirgi omillari,Конечные мотели путешествия
3564,Sam's Town Hotel and Casino,,Samning shaharher mehmonxonasi va Casino,Сэм -городский отель и казино
3565,Relax Inns,,Inns dam oling,Расслабьтесь
3566,Garden Place Hotel,,Bog 'mehmonxonasi,Отель Garden Place
3567,Soho Grand Hotel,,Soho Grand mehmonxonasi,Soho Grand Hotel
3568,Ladbroke Hotels,,Lodbrok mehmonxonalari,Ladbroke Hotels
3569,Tribeca Grand Hotel,,Tribeka Grand mehmonxonasi,Tribeca Grand Hotel
3570,Forum Hotels,,Forum mehmonxonalari,Форум отели
3571,Grand Wailea Resort,,Grand Vayrli kurort,Grand Wailea Resort
3572,Miyako Hotel,,Miyako mehmonxonasi,Мияко отель
3573,Sandman Hotels,,Sandman mehmonxonalari,Sandman Hotels
3574,Venture Inn,,Venture Inn,Венчурная гостиница
3575,Vagabond Hotels,,Vagibond mehmonxonalari,Бродячие отели
3576,La Quinta Resort,,L kvinta kurorti,La Quinta Resort
3577,Mandarin Oriental Hotels,,Mandarin Sharqiy mehmonxonalar,Мандарин Восточные отели
3578,Frankenmuth Bavarian,,Frankenmut Bavariya,Франкенмут Баварский
3579,Hotel Mercure,,Mehmonxonaga Mersur,Отель Mercure
3580,Hotel Del Coronado,,Hotel Del Coronado,Отель Del Coronado
3581,Delta Hotels,,Delta mehmonxonalari,Дельта отелей
3582,California Hotel and Casino,,Kaliforniya mehmonxonasi va kazino,Калифорнийский отель и казино
