MCC,DESCRIPTION,DESCRIPTION_UZ,DESCRIPTION_RU
5051,Metal service centres and offices,Metall servis markazlari va ofislari,Металлические центры и офисы
5065,Electrical parts and equipment,Elektr qismlari va uskunalari,Электрические детали и оборудование
5072,Hardware equipment and supplies,Uskunalar va materiallar,Аппаратное оборудование и расходные материалы
5074,Plumbing and heating equipment and supplies,Santexnika va isitish uskunalari va materiallar,Сантехника и отопление оборудования и расходные материалы
5085,Industrial supplies - not elsewhere classified,Sanoat ta'minoti - boshqa joyda tasniflangan emas,Промышленные принадлежности - не в других местах классифицируются
5094,"Precious stones and metals, watches and jewellery","Qimmatbaho toshlar va metallar, soatlar va zargarlik buyumlari","Драгоценные камни и металлы, часы и украшения"
5099,Durable goods - not elsewhere classified,Bardoshli mahsulotlar - boshqa joyda tasniflangan,Прочный товары - не в других местах классифицируется
5111,"Stationery, office supplies and printing and writing paper","Kantselyariya tovarlari, ofis materiallari va matbaa va qog'oz yozish","Канцелярские товары, офисные принадлежности, печатная и писательская бумага"
5122,"Drugs, drug proprietors","Giyohvand moddalar, giyohvandlik vositalari","Лекарства, владельцы лекарств"
5131,"Piece goods, notions and other dry goods","Buyumlar, tushunchalar va boshqa quruq mahsulotlar","Товары, понятия и другие сухие товары"
5137,"Men's, women's and children's uniforms and commercial clothing","Erkaklar, ayollar va bolalar kiyimlari va tijorat kiyimlari","Мужская, женская и детская форма и коммерческая одежда"
5139,Commercial footwear,Tijorat poyafzallari,Коммерческая обувь
5169,Chemicals and allied products - not elsewhere classified,Kimyoviy va ittifoq mahsulotlari - boshqa joyda tasniflangan,Химикаты и союзные продукты - не в других местах классифицируются
5192,"Books, periodicals and newspapers","Kitoblar, davriy nashrlar va gazetalar","Книги, периодические издания и газеты"
5193,"Florists' supplies, nursery stock and flowers","Floristlarning ta'minoti, bolalar bog'chasi va gullari","Спасники флористов, питомник и цветы"
5198,"Paints, varnishes and supplies","Bo'yoqlar, laklar va materiallar","Краски, лаки и припасы"
5199,Non-durable goods - not elsewhere classified,Uzoq bo'lmagan tovarlar - boshqa joyda tasniflangan,Не продуманные товары - не классифицируются в других местах
5200,Home supply warehouse outlets,Uydagi ta'minot ombori,Складские магазины дома
5211,Lumber and building materials outlets,Yog'och va qurilish materiallari savdosi,Пиломатериалы и строительные материалы
5231,"Glass, paint and wallpaper shops","Shisha, bo'yoq va devor qog'ozi do'konlari","Стекло, краска и обои магазины"
5251,Hardware shops,Apparat do'konlari,Аппаратные магазины
5261,"Lawn and garden supplies outlets, including nurseries","Maysazor va bog 'materiallari, shu jumladan hamshiralar","Поставки для газонов и садов, в том числе питомники"
5271,Mobile home dealers,Mobil uy dilerlari,Дилеры мобильных домов
5300,Wholesale clubs,Ulgurji klublar,Оптовые клубы
5309,Duty-free shops,Boj olinmaydigan do'konlar,Бездельные магазины
5310,Discount shops,Chegirma do'konlari,Дисконтные магазины
5311,Department stores,Kafedra do'konlari,Универмаги
5331,Variety stores,Turli xil do'konlar,Разнообразные магазины
5399,Miscellaneous general merchandise,Umumiy umumiy mahsulot,Разное общее товары
5411,Groceries and supermarkets,Oziq-ovqat va supermarketlar,Продукты и супермаркеты
5422,Freezer and locker meat provisioners,Muzlatgich va echinish go'shti,Заказера -морозильник и шкаф
5441,"Candy, nut and confectionery shops","Konfet, gayka va qandolat mahsulotlari do'konlari","Конфеты, ореховые и кондитерские магазины"
5451,Dairies,Sut,Молочные заводы
5462,Bakeries,Novvoyxonalar,Пекарни
5499,Miscellaneous food shops - convenience and speciality retail outlets,Oziq-ovqat do'konlari - qulaylik va qo'shimcha savdo do'konlari,Разное продовольственные магазины - удобство и специальные торговые точки
5511,"Car and truck dealers (new and used) sales, services, repairs, parts and leasing","Avtomobil va yuk mashinalari sotuvchilari (yangi va ishlatilgan) savdo, xizmatlar, ta'mirlash, ehtiyot qismlar va lizing","Дилеры автомобилей и грузовиков (новые и подержанные) Продажи, услуги, ремонт, запчасти и лизинг"
5521,"Car and truck dealers (used only) sales, service, repairs, parts and leasing","Avtomobil va yuk mashinalari sotuvchilari (faqat ishlatilgan) savdo, xizmat ko'rsatish, ta'mirlash, ehtiyot qismlar va lizing","Дилеры автомобилей и грузовиков (только используются) Продажи, обслуживание, ремонт, запчасти и лизинг"
5531,Auto and home supply outlets,Avtomobil va uy ta'minoti sotuvlar,Авто и домашние запасы
5532,Automotive tyre outlets,Avtomobilsozlik texnologiyasi,Автомобильные шины
5533,Automotive parts and accessories outlets,Avtomobil ehtiyot qismlari va aksessuarlari,Автомобильные детали и аксессуары
5541,Service stations (with or without ancillary services),Xizmat stantsiyalari (yordami bilan yoki qo'shimcha xizmatlar bilan),Станции обслуживания (с или без вспомогательных услуг)
5542,Automated fuel dispensers,Avtomatlashtirilgan yonilg'i quyish vositalari,Автоматизированный топливный дозаторы
5551,Boat dealers,Qayiq sotuvchilari,Лодочные торговцы
5561,"Camper, recreational and utility trailer dealers","Kamper, dam olish va kommunal xizmatchilar dilerlari","Кэмпер, развлекательные и коммунальные трейлеры дилеров"
5571,Motorcycle shops and dealers,Mototsikl do'konlari va dilerlar,Мотоциклетные магазины и дилеры
5592,Motor home dealers,Motorom uy dilerlari,Домашние дилеры на мотоцикле
5598,Snowmobile dealers,Qor avtomobilining dilerlari,Дилеры снегоходов
5599,"Miscellaneous automotive, aircraft and farm equipment dealers -not elsewhere classified","Turli xil avtomobilsozlik, samolyotlar va ferma uskunalari sotuvchisi - boshqa joylarda tasniflangan","Разное автомобильное, дилеры самолетов и сельскохозяйственного оборудования -не в других местах."
5611,Men's and boys' clothing and accessory shops,Erkaklar va o'g'il bolalar kiyimlari va aksessuar do'konlari,Мужские и аксессуарные магазины для мужчин и мальчиков
5621,Women's ready-to-wear shops,Ayollar uchun tayyor - kiyish do'konlari,Женские готовые магазины
5631,Women's accessory and speciality shops,Ayollar aksessuari va mutaxassislik do'konlari,Женские аксессуары и специальные магазины
5641,Children's and infants' wear shops,Bolalar va chaqaloqlar 'do'konlar,Детские и младенческие магазины одежды
5651,Family clothing shops,Oilaviy kiyim do'konlari,Магазины семейной одежды
5655,Sports and riding apparel shops,Sport va minish yo'laklari,Спортивные и верховые магазины одежды
5661,Shoe shops,Poyafzal do'konlari,Обувные магазины
5681,Furriers and fur shops,Furries va mo'ynali do'konlar,Фурриеры и меховые магазины
5691,Men's and women's clothing shops,Erkaklar va ayollar kiyim do'konlari,Мужские и женские магазины одежды
5697,"Tailors, seamstresses, mending and alterations","Tikuvchilar, tikuvchilar, tuzatish va o'zgartirishlar","Портные, швеи, починка и изменения"
5698,Wig and toupee shops,Wig va Toupee do'konlari,Магазины париков и париков
5699,Miscellaneous apparel and accessory shops,Turli xil kiyim va aksessuar do'konlari,Разное магазины одежды и аксессуаров
5712,"Furniture, home furnishings and equipment shops and manufacturers, except appliances","Mebel, uy jihozlari va jihozlari do'konlari va ishlab chiqaruvchilari, Maishiy texnikadan tashqari","Мебель, домашняя мебель и магазины оборудования и производители, кроме приборов"
5713,Floor covering services,Zamin qoplamasi xizmatlari,Службы покрытия пола
5714,"Drapery, window covering and upholstery shops","Dekaza, oyna qoplamasi va qoplama do'konlari","Драпировка, окно -покрытие и обивки"
5715,Alcoholic beverage wholesalers,Alkogol ichimliklar ulgurji savdosi,Алкогольные напитки Оптовики
5718,"Fireplaces, fireplace screens and accessories shops","Kaminlar, kamin ekranlari va aksessuarlari do'konlari","Камины, каминные экраны и магазины аксессуаров"
5719,Miscellaneous home furnishing speciality shops,Turli xil uy jihozlari bo'yicha mutaxassislik do'konlari,Разное домашнее обстановка специализированных магазинов
5722,Household appliance shops,Uy jihozlari do'konlari,Магазины бытовых приборов
5732,Electronics shops,Electronics do'konlari,Электронные магазины
5733,"Music shops - musical instruments, pianos and sheet music","Musiqiy do'konlar - musiqa asboblari, pianino va varaq musiqasi","Музыкальные магазины - музыкальные инструменты, пианино и ноты"
5734,Computer software outlets,Kompyuter dasturiy ta'minotlari,Компьютерные программные розетки
5735,Record shops,Yozuv do'konlari,Записывающие магазины
5811,Caterers,Tanturer,Поставщики
5812,Eating places and restaurants,Ovqatlanish joylari va restoranlar,Места для еды и рестораны
5813,"Drinking places (alcoholic beverages) - bars, taverns, night-clubs, cocktail lounges and discotheques","Ichimlik joylari (alkogolli ichimliklar) - bar, Taverns, Tungi klublar, kokteyllar va diskotekalar","Питьевые места (алкогольные напитки) - бары, таверны, ночные клубы, коктейльные залы и дискотека"
5814,Fast food restaurants,Tez ovqatlanish restoranlari,Рестораны быстрого питания
5815,"Digital Goods-Media, Books, Movies, Music","Raqamli tovarlar - ommaviy axborot vositalari, kitoblar, filmlar, musiqa","Цифровые товары-медиа, книги, фильмы, музыка"
5816,Digital Goods-Games,Raqamli tovar-o'yinlar,Цифровые товарные игры
5817,Furriers and fur shopsDigital Goods-Software Applications (excluding games),Tirik shoprigital buyumlar-dasturiy ta'minot dasturlari (o'yinlardan tashqari),Purriers и Murs Shopsdigital Goods Software Applications (за исключением игр)
5818,Digital Goods-Multi-Category,Raqamli tovarlar-ko'p toifali,Цифровые товары-мульти-категория
5912,Drug stores and pharmacies,Dorixonalar va dorixonalar,Аптеки и аптеки
5921,"Package shops - beer, wine and liquor","Paket do'konlari - pivo, sharob va likyor","Упаковочные магазины - пиво, вино и ликер"
5931,Used merchandise and second-hand shops,Ishlatilgan tovarlar va ikkinchi qo'l do'konlari,Подержанные товары и магазины подержанных
5935,Wrecking and salvage yards,Vayronagarchilik va qutqarish hovlislari,Разрушение и спасение ярдов
5937,Antique reproduction shops,Antik takrorlash do'konlari,Античные магазины размножения
5940,Bicycle shops - sales and service,Velosiped do'konlari - Savdo va xizmat ko'rsatish,Велосипедные магазины - продажи и обслуживание
5941,Sporting goods shops,Sport tovarlari do'koni,Спортивные товары магазинов
5942,Bookshops,Kitob do'konlari,Книжные магазины
5943,"Stationery, office and school supply shops","Kantselyariya tovarlari, ofis va maktab ta'minoti do'koni","Канцелярские товары, офисные и школьные магазины снабжения"
5944,"Jewellery, watch, clock and silverware shops","Zargarlik buyumlari, tomosha, soat va kumush buyumlar do'konlari","Ювелирные изделия, часы, часы и серебряные изделия"
5945,"Hobby, toy and game shops","Xobbi, o'yinchoq va o'yin do'konlari","Хобби, игрушечные и игровые магазины"
5946,Camera and photographic supply shops,Kamera va fotosuratlar bilan ta'minot do'koni,Камера и магазины подачи фотосъемки
5947,"Gift, card, novelty and souvenir shops","Sovg'a, kartani, yangtoy va yodgorlik do'konlari","Подарки, карта, новинка и сувенирные магазины"
5948,Luggage and leather goods shops,Bagaj va charm buyumlari do'koni,Магазины багажа и кожи
5949,"Sewing, needlework, fabric and piece goods shops","Tikuv, tikuvchilik, mato va buyumlar do'konlari","Шитье, рукоделия, магазины товаров ткани и предметов"
5950,Glassware and crystal shops,Shisha va kristalli do'konlar,Стеклянные и хрустальные магазины
5962,Telemarketing - travel-related arrangement services,Telemarketing - Sayohat bilan bog'liq tadbirlar xizmatlari,"Телемаркетинг - Служба договоренности, связанные с путешествиями"
5963,Door-to-door sales,Eshikning uyma-uy savdosi,Продажи двери до двери
5964,Direct marketing - catalogue merchants,To'g'ridan-to'g'ri marketing - Katalog savdogarlari,Прямой маркетинг - торговцы каталогами
5965,Direct marketing - combination catalogue and retail merchants,To'g'ridan-to'g'ri marketing - kombinatsiya katalog va chakana savdogarlar,Прямой маркетинг - комбинированный каталог и торговцы розничными торговцами
5966,Direct marketing - outbound telemarketing merchants,To'g'ridan-to'g'ri marketing - Chiquvchi Telemarketing savdogarlari,Прямой маркетинг - Источные торговцы телемаркетингом
5967,Direct marketing - inbound telemarketing merchants,To'g'ridan-to'g'ri marketing - Telemarketing savdogarlari,Прямой маркетинг - входящие торговцы телемаркетингом
5968,Direct marketing - continuity subscription merchants,To'g'ridan-to'g'ri marketing - uzluksizlik abonentlari savdogarlari,Прямой маркетинг - торговцы подпиской на непрерывность
5969,Direct marketing direct marketers - not elsewhere classified,To'g'ridan-to'g'ri marketing to'g'ridan-to'g'ri marketing - boshqa joyda tasniflangan,Прямой маркетинг прямого маркетинга - не в других местах классифицируется
5970,Artist supply and craft shops,Rassom etkazib berish va hunarmandchilik do'konlari,Магазины поставки художников и ремесленников
5971,Art dealers and galleries,Badiiy dilerlar va galereyalar,Художественные дилеры и галереи
5972,Stamp and coin shops,Shtamp va tanga do'konlari,Магазины штампов и монет
5973,Religious goods and shops,Diniy buyumlar va do'konlar,Религиозные товары и магазины
5975,"Hearing aids - sales, service and supplies","Eshitish vositasi - sotish, xizmat ko'rsatish va materiallar","Слуховые аппараты - продажи, обслуживание и расходные материалы"
5976,Orthopaedic goods and prosthetic devices,Ortopedik buyumlar va protez qurilmalari,Ортопедические товары и протезные устройства
5977,Cosmetic shops,Kosmetik do'konlar,Косметические магазины
5978,"Typewriter outlets - sales, service and rentals","Yozuv ko'rsatgich savdolari, sotish, xizmat va ijara haqi","Счетчики для пишущей машинки - продажи, обслуживание и аренда"
5983,"Fuel dealers - fuel oil, wood, coal and liquefied petroleum","Yoqilg'i dilerlari - yoqilg'i moyi, yog'och, ko'mir va suyultirilgan neft","Дилеры топлива - мазут, древесина, уголь и нефть сжиженной нефти."
5992,Florists,Floristlar,Флористы
5993,Cigar shops and stands,Sigaret do'konlari va stendlar,Сигарные магазины и стенды
5994,Newsagents and news-stands,NewsAgentlar va yangiliklar - Stendlar,Газета и новостные стенды
5995,"Pet shops, pet food and supplies","Uy hayvonlari do'konlari, uy hayvonlari oziq-ovqat va materiallar","Домашние магазины, корма для домашних животных и припасы"
5996,"Swimming pools - sales, supplies and services","Basseynlar - sotish, materiallar va xizmatlar","Бассейны - продажи, расходные материалы и услуги"
5997,Electric razor shops - sales and service,Elektr usta do'konlari - Savdo va xizmat ko'rsatish,Электрические магазины бритвы - продажи и обслуживание
5998,Tent and awning shops,Chodir va ochmoq do'konlari,Палатка и ввесы
5999,Miscellaneous and speciality retail outlets,Turli xil va mutaxassislik chakana savdo do'konlari,Разное и специальные торговые точки
7011,"Lodging - hotels, motels and resorts","Yashash joyi - mehmonxonalar, motellar va kurortlar","Жилье - отели, мотели и курорты"
7032,Sporting and recreational camps,Sport va damlama lagerlari,Спортивные и развлекательные лагеря
7033,Trailer parks and camp-sites,Treyler bog'lari va lagerlar,Трейлерные парки и лагерные сайты
7210,"Laundry, cleaning and garment services","Kir yuvish, tozalash va tikuv xizmatlari","Служба стирки, уборки и одежды"
7211,Laundry services - family and commercial,Kir yuvish xizmatlari - Oila va tijorat,Служба прачечной - семейная и коммерческая
7216,Dry cleaners,Quruq tozalagichlar,Сухой чистки
7217,Carpet and upholstery cleaning,Gilam va qoplamali tozalash,Ковер и обивка
7221,Photographic studios,Fotosuratlar,Фото студий
7230,Beauty and barber shops,Go'zallik va sartaroshxonalar,Красота и парикмахерские
7251,"Shoe repair shops, shoe shine parlours and hat cleaning shops","Poyafzal ta'mirlash do'konlari, poyafzal nurlagichlari va shlyapa","Магазины ремонта обуви, салоны для обуви и магазины очистки шляп"
7261,Funeral services and crematoriums,Dafn xizmatlari va krematoriyalar,Похоронные услуги и крематории
7273,Dating and escort services,Tanishuv va eskort xizmatlari,Услуги знакомств и сопровождения
7278,Buying and shopping services and clubs,Xarid qilish va xaridlar va klublar,Покупка и покупки и клубы
7295,Babysitting and housekeeping services,Kichkintoylar va uy xo'jaligi xizmatlari,Служба няни и домашнего хозяйства
7296,"Clothing rentals - costumes, uniforms and formal wear","Kiyim ijarasi - Kostyumlar, forma va rasmiy kiyim","Аренда одежды - костюмы, униформа и формальная одежда"
7297,Massage parlours,Massaj xonalari,Массажные салоны
7298,Health and beauty spas,Salomatlik va go'zallik spaas,Здоровье и красота
7299,Miscellaneous personal services - not elsewhere classified,Turli xil shaxsiy xizmatlar - boshqa joyda tasniflangan,Разное персональные услуги - не в других местах классифицируется
7311,Advertising services,Reklama xizmatlari,Рекламные услуги
7333,"Commercial photography, art and graphics","Tijorat fotosuratlari, san'at va grafika","Коммерческая фотография, искусство и графика"
7338,"Quick copy, reproduction and blueprinting services","Tez nusxa ko'chirish, ko'payish va chizish xizmatlari","Службы быстрого копирования, воспроизводства и чертежа"
7339,Stenographic and secretarial support services,Stenografik va kotibiyatni qo'llab-quvvatlash xizmatlari,Служба стенографической и секретарской поддержки
7342,Exterminating and disinfecting services,Yo'q qilish va dezinfektsiyalash xizmatlari,Истребление и дезинфицирующие услуги
7349,"Cleaning, maintenance and janitorial services","Tozalash, texnik xizmat ko'rsatish va naanetskiy xizmatlar","Очистка, техническое обслуживание и уборочные услуги"
7361,Employment agencies and temporary help services,Bandlik agentliklari va vaqtincha yordam xizmatlari,Агентства по трудоустройству и временная помощь
7372,"Computer programming, data processing and integrated systems design services","Kompyuterni dasturlash, ma'lumotlarni qayta ishlash va integratsiyalashgan tizimlarni loyihalash xizmatlari","Компьютерное программирование, обработка данных и интегрированные службы проектирования систем"
7375,Information retrieval services,Axborotni olish xizmatlari,Службы поиска информации
7379,Computer maintenance and repair services - not elsewhere classified,Kompyuter texnikasi va ta'mirlash xizmatlari - boshqa joyda tasniflangan,Услуги по техническому обслуживанию и ремонту компьютера - не классифицируются в других местах
7392,"Management, consulting and public relations services","Boshqaruv, konsalting va jamoatchilik bilan aloqalar Xizmatlari","Услуги по управлению, консалтингу и связям с общественностью"
7393,"Detective agencies, protective agencies and security services, including armoured cars and guard dogs","Detektiv agentliklar, himoya agentliklari va xavfsizlik xizmatlari, shu jumladan zirhli avtomobillar va qorovullik itlari","Детективные агентства, защитные агентства и службы безопасности, включая бронированные автомобили и охраняемых собак"
7394,"Equipment, tool, furniture and appliance rentals and leasing","Uskunalar, asbob, asbob, mebel va jihoz ijarasi va lizing","Оборудование, инструмент, мебель и аренда приборов и лизинг"
7395,Photofinishing laboratories and photo developing,Fotofinlashtirish laboratoriyalari va fotosurat rivojlanmoqda,Фотофинансирующие лаборатории и разработка фото
7399,Business services - not elsewhere classified,Biznes xizmatlari - boshqa joyda tasniflangan emas,Бизнес -услуги - не в других местах классифицируется
7511,Reserved for national use,Milliy foydalanish uchun ajratilgan,Зарезервировано для национального использования
7512,Automobile rentals,Avtomobillarni ijarasi,Автомобильная аренда
7513,Truck and utility trailer rentals,Yuk mashinasi va kommunal retser ijarasi,Аренда грузовых и коммунальных прицепов
7519,Motor home and recreational vehicle rentals,Avtomobil uyi va dam olish avtomobilsining ijarasi,Дом на автостоянках и развлекательную аренду транспортных средств
7523,Parking lots and garages,Avtomobillar va garajlar,Парковки и гаражи
7531,Automotive body repair shops,Avtomobilni ta'mirlash bo'yicha mutaxassislar,Автомобильные мастерские ремонта кузова
7534,Tyre retreading and repair shops,Shinani qayta ishlash va ta'mirlash do'konlari,Магазины ретресса и ремонта шин
7535,Automotive paint shops,Avtomobillar uchun bo'yoq do'konlari,Автомобильные мастерские
7538,Automotive service shops (non-dealer),Avtomobillarga xizmat ko'rsatish do'konlari (diler bo'lmagan),Автомобильные сервисные магазины (не дилер)
7542,Car washes,Avtomobil yuvish,Автомобильные стирки
7549,Towing services,Exish xizmatlari,Буксирные услуги
7622,Electronics repair shops,Electronicik ta'mirlash do'konlari,Электронные ремонтные мастерские
7623,Air conditioning and refrigeration repair shops,Konditsioner va sovutishni ta'mirlash sexlari,Кондиционирование и ремонтные магазины охлаждения
7629,Electrical and small appliance repair shops,Elektr va kichik jihozlar ta'mirlash sexlari,Электрические и небольшие ремонтные мастерские
7631,"Watch, clock and jewellery repair shops","Watch, soat va zargarlik buyumlarini ta'mirlash sexlari","СМОТРЕТЬ, ЧАСТИ И РЕЗУКЦИИ"
7641,"Furniture reupholstery, repair and refinishing","Mebel repeprolyy, ta'mirlash va qayta ishlash","Мебель для повторной поддержки, ремонта и ремонта"
7692,Welding services,Payvandlash xizmatlari,Сварные услуги
7699,Miscellaneous repair shops and related services,Turli xil ta'mirlash do'konlari va tegishli xizmatlar,Разное ремонтные мастерские и связанные с ними услуги
7829,Motion picture and video tape production and distribution,Motion Rasm va video lenta ishlab chiqarish va tarqatish,Производство и распространение кинофильмы и видеосвязан
7832,Motion picture theatres,Motion Teatr teatrlari,Кинотеатры
7841,Video tape rentals,Video lenta ijarasi,Видеозапись проката
7911,"Dance halls, studios and schools","Raqs zallari, studiyalar va maktablar","Танцевальные залы, студии и школы"
7922,Theatrical producers (except motion pictures) and ticket agencies,Teatrlashtirilgan ishlab chiqaruvchilar (kinofilmlardan tashqari) va chiptalar agentliklari,Театральные продюсеры (кроме кинофильмов) и билетные агентства
7929,"Bands, orchestras and miscellaneous entertainers - not elsewhere classified","Bands, orkestrlar va boshqa ko'ngilochlar - boshqa joyda tasniflangan","Группы, оркестры и разные артисты - не в других местах классифицируются"
7932,Billiard and pool establishments,Billord va basseyd muassasalari,Бильярд и пул заведения
7933,Bowling alleys,Bouling xiyobonlari,Боулинг -переулки
7941,"Commercial sports, professional sports clubs, athletic fields and sports promoters","Tijorat sporti, professional sport klublari, sport maydonlari va sport sohasi","Коммерческие виды спорта, профессиональные спортивные клубы, спортивные площадки и спортивные промоутеры"
7991,Tourist attractions and exhibits,Turistik diqqatga sazovor joylar va eksponatlar,Туристические достопримечательности и экспонаты
7992,Public golf courses,Jamoat golf kurslari,Общественные поля для гольфа
7993,Video amusement game supplies,Video o'yin-kulgi o'yinlari,Видеоализация Game Supplies
7994,Video game arcades and establishments,Video o'yin arkadlari va muassasalari,Видеоигры аркады и заведения
7996,"Amusement parks, circuses, carnivals and fortune tellers","Istirohat bog'lari, turklar, avn anchalar va folbinlar","Парки развлечений, цирки, карнавалы и гадалки"
7997,"Membership clubs (sports, recreation, athletic), country clubs and private golf courses","A'zolik klublari (sport, dam olish, sport), mamlakat klublari va xususiy golf kurslari","Клубы членства (спорт, отдых, спортивные), загородные клубы и частные поля для гольфа"
7998,"Aquariums, seaquariums and dolphinariums","Akvariumlar, dengiz sohillari va delfinariumlar","Аквариумы, морские коры"
7999,Recreation services - not elsewhere classified,Dam olish xizmatlari - boshqa joyda tasniflangan,Службы отдыха - не в других местах классифицируются
8011,Doctors and physicians - not elsewhere classified,Shifokorlar va shifokorlar - boshqa joyda tasniflangan,Врачи и врачи - не в других местах классифицированы
8021,Dentists and orthodontists,Stomatologlar va ortodontchilar,Стоматологи и ортодонт
8031,Osteopaths,Osteopatlar,Остеопаты
8041,Chiropractors,Chiropraktors,Хиропрактики
