STATE,RESIDENTIAL,GENDER,AGE,WEIGHT (kg),HEIGHT (cm),BMI (kg/m2),CLASS (BMI),POWER (cm),SPEED (sec),FLEXIBILITY (cm),COORDINATION (no.)
JOHOR,URBAN,F,7.1,18.4,113,14.4,NORMAL,107,5.65,28.5,2
JOHOR,URBAN,F,7.1,29,120,20.1,OBESITY,101,5.15,29,1
JOHOR,URBAN,F,7,17,103,16,NORMAL,85,5,21,8
JOHOR,URBAN,F,7.1,17,120,11.8,THINNESS,85,2.79,21,4
JOHOR,URBAN,F,7,25,118,18,OVERWEIGHT,96,5.25,27,2
JOHOR,URBAN,F,7,21.1,121.7,14.2,NORMAL,91,5.1,27,2
JOHOR,URBAN,F,7,23,127,14.3,NORMAL,98,5.71,21,9
JOHOR,URBAN,F,7,19,121,13,NORMAL,99,4.35,20,1
JOHOR,RURAL,F,7.1,24.4,115,18.4,OVERWEIGHT,86,5.53,26,7
JOHOR,RURAL,F,7.1,18,118,12.9,NORMAL,78,5.25,29,4
JOHOR,URBAN,F,7,18,119,12.7,NORMAL,81,6.02,29,8
JOHOR,URBAN,F,7,20.7,117,15.1,NORMAL,101,5.48,28,1
JOHOR,URBAN,F,7,25.3,126,15.9,NORMAL,93,4.05,22,1
JOHOR,RURAL,F,7.1,22,116,16.3,NORMAL,108,5.3,27,1
JOHOR,URBAN,F,7.1,24,129,14.4,NORMAL,87,4.73,28,1
JOHOR,URBAN,F,7.1,29.5,120,20.5,OBESITY,100,5.37,29,1
JOHOR,RURAL,F,7,22,113.5,17.1,NORMAL,92,6.05,33,2
JOHOR,URBAN,F,7.1,23.4,116.5,17.2,NORMAL,87,5.04,30,1
JOHOR,URBAN,F,7.1,24,123,15.9,NORMAL,83,5.67,32,3
JOHOR,RURAL,F,7,19.5,111.5,15.7,NORMAL,97,5.48,28,1
JOHOR,URBAN,F,7.1,17.8,111,14.4,NORMAL,92,5.37,31,1
JOHOR,URBAN,F,7.1,18.4,115.5,13.8,NORMAL,103,6.31,33.5,1
JOHOR,URBAN,F,7,24,125,15.4,NORMAL,75,4.96,29.5,1
JOHOR,URBAN,F,7.1,26,123,17.2,NORMAL,78,5.09,23,6
JOHOR,URBAN,F,7,17.04,111,13.8,NORMAL,105,5.98,28,1
JOHOR,URBAN,F,7,19.4,114,14.9,NORMAL,90,5.23,24.5,3
JOHOR,URBAN,F,7,15.5,110,12.8,NORMAL,95,5.67,29,1
JOHOR,RURAL,F,7.1,26,123,17.2,NORMAL,79,5.42,33,1
JOHOR,URBAN,F,7,17.2,122,11.6,SEVERE THINNESS,93,5.43,26,2
JOHOR,RURAL,F,7.1,23,113,18,OVERWEIGHT,92,5.34,28.5,1
JOHOR,URBAN,F,7,18.6,119,13.1,NORMAL,93,4.65,17,1
JOHOR,URBAN,F,7.1,23,121,15.7,NORMAL,100,5.43,25,1
JOHOR,URBAN,F,7,18.5,119,13.1,NORMAL,102,5.1,23,1
JOHOR,URBAN,F,7.1,18,114,13.9,NORMAL,73,5.42,26.5,5
JOHOR,RURAL,F,7.1,17.5,113.8,13.5,NORMAL,74,5.12,25,4
JOHOR,URBAN,F,7.1,37.5,122,25.2,OBESITY,77,5.47,28.5,3
JOHOR,URBAN,F,7,18.1,113,14.2,NORMAL,82,5.9,31.5,2
JOHOR,URBAN,F,7,24,121,16.4,NORMAL,100,5.35,19,2
JOHOR,URBAN,F,7,21,121,14.3,NORMAL,89,5.49,29.5,1
JOHOR,URBAN,F,7,19,115,14.4,NORMAL,86,5.17,24,2
JOHOR,URBAN,F,7.1,27,124,17.6,OVERWEIGHT,91,5.67,26,2
JOHOR,URBAN,F,7.1,23,122.8,15.3,NORMAL,80,5.29,28,1
JOHOR,URBAN,F,7,48,135,26.3,OBESITY,88,5.6,18,6
JOHOR,URBAN,F,7.1,40.7,131,23.7,OBESITY,92,5.84,27,1
JOHOR,RURAL,F,7,19.99,116,14.9,NORMAL,87,5.29,27,1
JOHOR,RURAL,F,7.1,25,121,17.1,NORMAL,77,6.65,27,6
JOHOR,URBAN,F,7.1,20,119,14.1,NORMAL,79,5.79,22,8
JOHOR,URBAN,F,7,18,108.5,15.3,NORMAL,88,5.25,24,1
JOHOR,URBAN,F,7,25.1,121.5,17,NORMAL,94,6.73,28,1
JOHOR,URBAN,F,7.1,23,120.5,15.8,NORMAL,82,4.46,22,1
JOHOR,URBAN,F,7,23,121,15.7,NORMAL,84,5.67,23.5,4
JOHOR,RURAL,F,7.1,15.2,109.5,12.7,NORMAL,81,4.98,18,2
JOHOR,URBAN,F,7,21.5,121.5,14.6,NORMAL,80,5.79,32,1
JOHOR,URBAN,F,7.1,25,120,17.4,OVERWEIGHT,97,6.17,25,1
JOHOR,RURAL,F,7.1,19,119.5,13.3,NORMAL,105,5.62,21.5,1
JOHOR,URBAN,F,7,20.6,115,15.6,NORMAL,103,6.23,25,1
JOHOR,URBAN,F,7.1,25,119,17.7,OVERWEIGHT,102,5.85,20,1
JOHOR,URBAN,F,7.1,21,120,14.6,NORMAL,79,6.6,22,7
JOHOR,URBAN,F,7,20,119,14.1,NORMAL,85,5.79,23,3
JOHOR,URBAN,F,7,24,123,15.9,NORMAL,96,5.29,14,1
JOHOR,URBAN,F,7.1,21,116,15.6,NORMAL,89,5.84,20,3
JOHOR,URBAN,F,7,17.3,116,12.9,NORMAL,76,5.28,26,1
JOHOR,URBAN,F,7,22,121,15,NORMAL,90,7.93,23,3
JOHOR,URBAN,F,7.1,19,116,14.1,NORMAL,73,6.85,26,4
JOHOR,URBAN,F,7,20,118.3,14.3,NORMAL,78,5.52,25,1
JOHOR,URBAN,F,7.1,23,119,16.2,NORMAL,54,5.84,29,1
JOHOR,URBAN,F,7.1,22,121,15,NORMAL,80,5.85,24.5,2
JOHOR,URBAN,F,7.1,21,112,16.7,NORMAL,80,5.5,21,2
JOHOR,URBAN,F,7,19,118,13.6,NORMAL,76,6.88,27,2
JOHOR,URBAN,F,7.1,22.9,124,14.9,NORMAL,82,5.14,18,1
JOHOR,RURAL,F,7,21,114.5,16,NORMAL,81,6.15,27.5,1
JOHOR,RURAL,F,7.1,17,114,13.1,NORMAL,95,5.66,13,1
JOHOR,URBAN,F,7.1,18.5,115.5,13.9,NORMAL,84,6.03,14,3
JOHOR,URBAN,F,7.1,19.7,122.5,13.1,NORMAL,83,5.6,23,1
JOHOR,URBAN,F,7.1,20.9,118.7,14.8,NORMAL,77,6.68,28,1
JOHOR,RURAL,F,7.1,26.3,121.9,17.7,OVERWEIGHT,82,5.48,21.5,1
JOHOR,URBAN,F,7.1,25.7,111,20.9,OBESITY,84,5.76,19.5,1
JOHOR,URBAN,F,7.1,21,116,15.6,NORMAL,71,6.32,28,1
JOHOR,URBAN,F,7.1,20.1,118,14.4,NORMAL,80,6.42,26,1
JOHOR,URBAN,F,7.1,18.4,118,13.2,NORMAL,70,5.6,24.5,1
JOHOR,URBAN,F,7,16.9,112.8,13.3,NORMAL,66,6.79,15,5
JOHOR,URBAN,F,7.1,21.5,119.1,15.2,NORMAL,78,5.89,14.5,2
JOHOR,URBAN,F,7,23,117.3,16.7,NORMAL,65,6.5,27.5,1
JOHOR,RURAL,F,7,17.4,114,13.4,NORMAL,77,6.19,22,1
KEDAH,URBAN,F,7.1,20.05,116,14.9,NORMAL,128,5.09,34,9
KEDAH,RURAL,F,7.1,18,120,12.5,THINNESS,130,4.06,27,9
KEDAH,URBAN,F,7,19,114,14.6,NORMAL,123,4.21,33,4
KEDAH,URBAN,F,7,23,120,16,NORMAL,130,4.49,32.5,4
KEDAH,URBAN,F,7,20,123.4,13.1,NORMAL,132,4.78,26,8
KEDAH,RURAL,F,7.1,26,123.5,17,NORMAL,100,4.78,29,8
KEDAH,RURAL,F,7,17.6,116,13.1,NORMAL,104,5.03,28,10
KEDAH,URBAN,F,7.1,24.5,126.4,15.3,NORMAL,108,4.39,26,6
KEDAH,RURAL,F,7,20,112,15.9,NORMAL,107,5.28,32,6
KEDAH,URBAN,F,7.1,37.9,127,23.5,OBESITY,117,4.9,22,10
KEDAH,URBAN,F,7,21,120,14.6,NORMAL,92,4.39,25,10
KEDAH,RURAL,F,7.1,25,123,16.5,NORMAL,112,5.34,32,5
KEDAH,URBAN,F,7.1,18.5,116,13.7,NORMAL,89,4.85,28.5,8
KEDAH,URBAN,F,7.1,15,110,12.4,THINNESS,121,4.79,27,3
KEDAH,RURAL,F,7.1,21.6,124,14,NORMAL,104,4.72,21,7
KEDAH,RURAL,F,7.1,27,118,19.4,OVERWEIGHT,107,4.86,30,1
KEDAH,RURAL,F,7.1,19,112,15.1,NORMAL,109,5.67,30,6
KEDAH,URBAN,F,7,20.2,116,15,NORMAL,100,4.84,35,1
KEDAH,URBAN,F,7,22,117,16.1,NORMAL,136,5.1,27,3
KEDAH,URBAN,F,7,19.4,109,16.3,NORMAL,102,4.13,15.5,6
KEDAH,URBAN,F,7,15,106,13.3,NORMAL,124,5.66,24.5,9
KEDAH,URBAN,F,7,14.7,109,12.4,THINNESS,102,5.2,25,7
KEDAH,RURAL,F,7.1,27.5,127.5,16.9,NORMAL,98,5.01,24,7
KEDAH,RURAL,F,7.1,16.5,113,12.9,NORMAL,101,5.23,26,6
KEDAH,RURAL,F,7.1,17,109,14.3,NORMAL,118,5.15,27,2
KEDAH,RURAL,F,7.1,20,117.5,14.5,NORMAL,104,5.17,26.5,3
KEDAH,RURAL,F,7.1,24,125,15.4,NORMAL,108,4.59,23,1
KEDAH,RURAL,F,7.1,23.1,116,17.2,NORMAL,97,5.51,25,7
KEDAH,RURAL,F,7,15,109,12.6,THINNESS,85,4.8,24,5
KEDAH,URBAN,F,7.1,23.5,121.5,15.9,NORMAL,104,4.73,24.5,1
KEDAH,RURAL,F,7.1,18,111.5,14.5,NORMAL,98,5.27,26,3
KEDAH,RURAL,F,7,19.5,116.5,14.4,NORMAL,108,5.74,21.5,7
KEDAH,RURAL,F,7.1,21,124,13.7,NORMAL,101,4.98,23,2
KEDAH,RURAL,F,7,21,121,14.3,NORMAL,88,5.1,32,1
KEDAH,URBAN,F,7.1,18.9,121,12.9,NORMAL,75,5.12,29,4
KEDAH,URBAN,F,7,18.5,116,13.7,NORMAL,95,5.23,30,1
KEDAH,RURAL,F,7.1,16.4,111,13.3,NORMAL,83,5.2,27.5,3
KEDAH,RURAL,F,7.1,19,123,12.6,THINNESS,80,4.48,25.5,1
KEDAH,RURAL,F,7,19,109,16,NORMAL,72,4.67,26,2
KEDAH,URBAN,F,7.1,17,113,13.3,NORMAL,96,5.16,21,3
KEDAH,RURAL,F,7,14,107,12.2,THINNESS,86,4.9,16,4
KEDAH,RURAL,F,7.1,26,124.7,16.7,NORMAL,89,5.45,28,1
KEDAH,URBAN,F,7,19.6,121,13.4,NORMAL,75,5.73,25.5,7
KEDAH,RURAL,F,7.1,30,127,18.6,OVERWEIGHT,86,5.79,33,1
KEDAH,RURAL,F,7.1,28,120,19.4,OVERWEIGHT,73,5.79,26,6
KEDAH,RURAL,F,7,23.6,122,15.9,NORMAL,83,5.27,24.5,2
KEDAH,URBAN,F,7,33,122,22.2,OBESITY,72,5.99,27,4
KEDAH,RURAL,F,7.1,29.1,117,21.3,OBESITY,87,5.86,28,1
KEDAH,RURAL,F,7.1,20,121.5,13.5,NORMAL,98,6.03,20.5,2
KEDAH,RURAL,F,7.1,19,112,15.1,NORMAL,95,5.58,21,1
KEDAH,RURAL,F,7.1,18,111.5,14.5,NORMAL,78,6.13,25,4
KEDAH,URBAN,F,7.1,18,120,12.5,THINNESS,90,5.59,15,2
KEDAH,URBAN,F,7,24.8,123,16.4,NORMAL,70,5.65,16,6
KEDAH,RURAL,F,7.1,29.4,122,19.8,OBESITY,70,6.94,24,1
KEDAH,URBAN,F,7.1,19.9,121,13.6,NORMAL,64,5.73,13,1
KEDAH,URBAN,F,7,23,118.8,16.3,NORMAL,77,5.95,17,1
KELANTAN,RURAL,F,7,20,121,13.7,NORMAL,106,4.3,31,8
KELANTAN,RURAL,F,7,16.5,110,13.6,NORMAL,98,5,30.5,8
KELANTAN,URBAN,F,7.1,30,115.3,22.6,OBESITY,109,5.21,33.5,5
KELANTAN,RURAL,F,7,23.6,118,16.9,NORMAL,111,5.21,30,6
KELANTAN,URBAN,F,7,28,123,18.5,OVERWEIGHT,107,5.79,32.5,10
KELANTAN,RURAL,F,7.1,32,126,20.2,OBESITY,103,5.31,28.5,9
KELANTAN,URBAN,F,7,18,115,13.6,NORMAL,123,5.3,27,7
KELANTAN,RURAL,F,7,17,118,12.2,THINNESS,95,4.85,26.5,8
KELANTAN,RURAL,F,7,16,104,14.8,NORMAL,101,5.54,28,10
KELANTAN,RURAL,F,7.1,23.9,122,16.1,NORMAL,106,4.81,29,2
KELANTAN,RURAL,F,7,21,118,15.1,NORMAL,101,4.98,29.5,3
KELANTAN,URBAN,F,7.1,20,118,14.4,NORMAL,94,5.56,37,5
KELANTAN,RURAL,F,7,21.4,122,14.4,NORMAL,95,4.97,29,4
KELANTAN,URBAN,F,7,20,118,14.4,NORMAL,135,4.86,25,2
KELANTAN,RURAL,F,7,17,111.5,13.7,NORMAL,88,5.1,28,6
KELANTAN,RURAL,F,7.1,22.2,117,16.2,NORMAL,95,5.02,29,2
KELANTAN,RURAL,F,7,23.3,120.5,16,NORMAL,91,5.62,33,3
KELANTAN,URBAN,F,7,18.4,114,14.2,NORMAL,107,5.63,35,1
KELANTAN,RURAL,F,7,21,114.5,16,NORMAL,102,5.35,28,2
KELANTAN,URBAN,F,7,19.6,113.2,15.3,NORMAL,106,5.17,25,2
KELANTAN,RURAL,F,7.1,23.8,120,16.5,NORMAL,92,5.36,27,4
KELANTAN,URBAN,F,7,14.9,105,13.5,NORMAL,118,6.13,25,5
KELANTAN,RURAL,F,7.1,24,120,16.7,NORMAL,90,4.4,25,1
KELANTAN,URBAN,F,7.1,17.6,113.3,13.7,NORMAL,89,5.37,29.5,1
KELANTAN,RURAL,F,7.1,28,118,20.1,OBESITY,98,4.67,19,1
KELANTAN,RURAL,F,7.1,19,119,13.4,NORMAL,77,4.46,27,1
KELANTAN,RURAL,F,7.1,20.1,115,15.2,NORMAL,68,4.81,26.5,3
KELANTAN,RURAL,F,7,19,121.5,12.9,NORMAL,84,5.2,26,3
KELANTAN,URBAN,F,7,29,118,20.8,OBESITY,90,6.06,25,7
KELANTAN,RURAL,F,7,19,117,13.9,NORMAL,89,4.87,26,1
KELANTAN,RURAL,F,7.1,23,121.5,15.6,NORMAL,90,5.6,29,1
KELANTAN,RURAL,F,7.1,29,119.5,20.3,OBESITY,85,5.81,32,1
KELANTAN,RURAL,F,7,17.3,115,13.1,NORMAL,105,5.25,23.5,1
KELANTAN,URBAN,F,7,22,117.5,15.9,NORMAL,86,5.88,27,4
KELANTAN,URBAN,F,7.1,24.6,120,17.1,NORMAL,71,5.47,32,1
KELANTAN,RURAL,F,7.1,16,118.5,11.4,SEVERE THINNESS,77,5.56,31.5,1
KELANTAN,URBAN,F,7.1,17.8,114,13.7,NORMAL,89,5.3,19,4
KELANTAN,RURAL,F,7.1,15,110.5,12.3,THINNESS,86,5.84,30,1
KELANTAN,RURAL,F,7.1,18.9,114.5,14.4,NORMAL,75,5.41,28.5,2
KELANTAN,RURAL,F,7.1,33.1,127,20.5,OBESITY,80,5.93,25,7
KELANTAN,URBAN,F,7.1,19,117.5,13.8,NORMAL,76,5.98,28.5,4
KELANTAN,RURAL,F,7,19,115,14.4,NORMAL,68,5.31,24.5,5
KELANTAN,RURAL,F,7,17,112,13.6,NORMAL,80,5.48,27,2
KELANTAN,URBAN,F,7.1,20.6,114.1,15.8,NORMAL,89,5.48,27.5,1
KELANTAN,RURAL,F,7,27.8,126.5,17.4,OVERWEIGHT,68,5.29,22,6
KELANTAN,URBAN,F,7,21,115,15.9,NORMAL,83,4.98,23,1
KELANTAN,URBAN,F,7,20.8,121.3,14.1,NORMAL,90,5.42,25.5,1
KELANTAN,RURAL,F,7,26,130,15.4,NORMAL,81,5.14,21,2
KELANTAN,RURAL,F,7.1,21.1,120,14.7,NORMAL,67,6,29,2
KELANTAN,RURAL,F,7.1,20,121,13.7,NORMAL,80,9,26,4
KELANTAN,RURAL,F,7.1,20.3,117,14.8,NORMAL,77,5.59,23,3
KELANTAN,URBAN,F,7,22,123,14.5,NORMAL,88,5.65,25,1
KELANTAN,URBAN,F,7.1,22,121,15,NORMAL,89,5.68,24,1
KELANTAN,RURAL,F,7.1,20.8,117,15.2,NORMAL,66,5.09,24.5,1
KELANTAN,RURAL,F,7.1,15,110,12.4,THINNESS,84,6.4,25.5,1
KELANTAN,RURAL,F,7.1,25,125,16,NORMAL,89,6.43,22,1
KELANTAN,RURAL,F,7.1,16.4,117.5,11.9,THINNESS,70,6.3,26.5,1
KELANTAN,URBAN,F,7,34,135,18.7,OVERWEIGHT,63,6.29,26,1
KELANTAN,URBAN,F,7.1,17,117,12.4,THINNESS,61,10,27,1
KELANTAN,RURAL,F,7,18,110,14.9,NORMAL,74,6.06,23,1
KELANTAN,URBAN,F,7.1,19,115,14.4,NORMAL,56,6.9,21.5,1
KUALA LUMPUR,URBAN,F,7.1,19.8,116.2,14.7,NORMAL,120,4.22,31.5,7
KUALA LUMPUR,URBAN,F,7.1,17.9,111.5,14.4,NORMAL,117,4.42,29,7
KUALA LUMPUR,URBAN,F,7,17.5,116,13,NORMAL,127,4.53,28,4
KUALA LUMPUR,URBAN,F,7.1,40,131,23.3,OBESITY,100,5.06,36.5,5
KUALA LUMPUR,URBAN,F,7,21.1,120.7,14.5,NORMAL,100,5.11,31.5,7
KUALA LUMPUR,URBAN,F,7,24,124.5,15.5,NORMAL,102,5.94,41,10
KUALA LUMPUR,URBAN,F,7.1,18,119,12.7,NORMAL,99,5.14,31,7
KUALA LUMPUR,URBAN,F,7.1,17.2,112,13.7,NORMAL,112,4.54,27.5,2
KUALA LUMPUR,URBAN,F,7,18.8,116,14,NORMAL,115,5.03,30.5,2
KUALA LUMPUR,URBAN,F,7,26.6,127,16.5,NORMAL,103,5.09,28,5
KUALA LUMPUR,URBAN,F,7,22.9,119,16.2,NORMAL,102,4.59,24,4
KUALA LUMPUR,URBAN,F,7.1,16.5,110,13.6,NORMAL,99,4.98,30,2
KUALA LUMPUR,URBAN,F,7.1,18.8,119,13.3,NORMAL,111,5.16,18,8
KUALA LUMPUR,URBAN,F,7,17.9,105,16.2,NORMAL,88,5.09,29,5
KUALA LUMPUR,URBAN,F,7.1,23.4,125,15,NORMAL,86,5.23,30,5
KUALA LUMPUR,URBAN,F,7.1,19.8,115,15,NORMAL,82,5.15,36,3
KUALA LUMPUR,URBAN,F,7,29.05,123,19.2,OVERWEIGHT,85,5,28,5
KUALA LUMPUR,URBAN,F,7,23,120,16,NORMAL,92,4.86,24.5,5
KUALA LUMPUR,URBAN,F,7,20.3,105,18.4,OVERWEIGHT,107,5.1,29,1
KUALA LUMPUR,URBAN,F,7.1,24,122,16.1,NORMAL,92,5.8,27.5,8
KUALA LUMPUR,URBAN,F,7.1,24.8,127.3,15.3,NORMAL,101,5.6,26.5,5
KUALA LUMPUR,URBAN,F,7.1,21.4,115.5,16,NORMAL,83,4.47,28,1
KUALA LUMPUR,URBAN,F,7,23.8,124,15.5,NORMAL,101,5.14,27,1
KUALA LUMPUR,URBAN,F,7.1,27,137,14.4,NORMAL,91,4.61,22.5,3
KUALA LUMPUR,URBAN,F,7,17.1,114.5,13,NORMAL,102,5.09,25,1
KUALA LUMPUR,URBAN,F,7.1,20.7,121,14.1,NORMAL,98,5.21,29,1
KUALA LUMPUR,URBAN,F,7.1,25.9,119,18.3,OVERWEIGHT,88,5.94,28.5,5
KUALA LUMPUR,URBAN,F,7,19.8,115,15,NORMAL,75,5.6,36,2
KUALA LUMPUR,URBAN,F,7,22.8,119,16.1,NORMAL,75,5.72,26,8
KUALA LUMPUR,URBAN,F,7.1,23.2,120,16.1,NORMAL,85,5.3,29,1
KUALA LUMPUR,URBAN,F,7.1,21.8,118,15.7,NORMAL,85,5.55,33,1
KUALA LUMPUR,URBAN,F,7,21.6,117,15.8,NORMAL,86,5.25,24,3
KUALA LUMPUR,URBAN,F,7.1,18,117,13.1,NORMAL,93,6,31,1
KUALA LUMPUR,URBAN,F,7.1,25,132,14.3,NORMAL,87,6.19,18,10
KUALA LUMPUR,URBAN,F,7,22.1,116,16.4,NORMAL,76,6.53,31,3
KUALA LUMPUR,URBAN,F,7.1,20,126,12.6,THINNESS,96,5.68,18,4
KUALA LUMPUR,URBAN,F,7.1,22.5,125,14.4,NORMAL,112,5.69,22.5,1
KUALA LUMPUR,URBAN,F,7,21.5,124,14,NORMAL,94,5.72,18.5,4
KUALA LUMPUR,URBAN,F,7.1,17.4,117,12.7,NORMAL,92,5.84,20,4
KUALA LUMPUR,URBAN,F,7.1,21,116,15.6,NORMAL,80,5.73,24.5,4
KUALA LUMPUR,URBAN,F,7.1,19.5,110,16.1,NORMAL,90,5.59,23,2
KUALA LUMPUR,URBAN,F,7,23.5,121,16.1,NORMAL,77,6.03,23.5,6
KUALA LUMPUR,URBAN,F,7.1,21.7,118,15.6,NORMAL,77,5.73,22.5,4
KUALA LUMPUR,URBAN,F,7.1,17.2,110,14.2,NORMAL,75,5.51,27.5,1
KUALA LUMPUR,URBAN,F,7.1,22.7,114.5,17.3,OVERWEIGHT,74,5.94,27,1
KUALA LUMPUR,URBAN,F,7.1,22.4,121.4,15.2,NORMAL,75,5.3,21.5,1
KUALA LUMPUR,URBAN,F,7.1,17.4,107,15.2,NORMAL,69,6.51,25.5,2
LABUAN,URBAN,F,7.1,27.1,123,17.9,OVERWEIGHT,100,4.65,27,2
LABUAN,URBAN,F,7,20.5,123.2,13.5,NORMAL,85,5.48,28,2
LABUAN,URBAN,F,7,16.2,119,11.4,SEVERE THINNESS,66,6.03,16.5,4
MELAKA,RURAL,F,7.1,37.7,112,30.1,OBESITY,100,4.54,40,6
MELAKA,RURAL,F,7.1,21,124,13.7,NORMAL,110,5.09,30.5,8
MELAKA,URBAN,F,7.1,19,113,14.9,NORMAL,110,4.81,29,6
MELAKA,RURAL,F,7.1,18.4,119.3,12.9,NORMAL,100,4.1,32.5,2
MELAKA,RURAL,F,7,19.1,117.4,13.9,NORMAL,98,5.07,28,8
MELAKA,RURAL,F,7.1,19,119,13.4,NORMAL,97,5,30,4
MELAKA,URBAN,F,7.1,22,123.4,14.4,NORMAL,102,5.23,31,3
MELAKA,RURAL,F,7,28,121.5,19,OVERWEIGHT,95,6.1,28.5,8
MELAKA,RURAL,F,7.1,19,115,14.4,NORMAL,102,4.29,26,1
MELAKA,RURAL,F,7.1,20,118,14.4,NORMAL,90,4.79,29,2
MELAKA,URBAN,F,7,22,119,15.5,NORMAL,84,6.06,37,5
MELAKA,RURAL,F,7,20,120,13.9,NORMAL,96,4.93,28,1
MELAKA,RURAL,F,7.1,18,113,14.1,NORMAL,94,4.9,20,5
MELAKA,RURAL,F,7,20,115,15.1,NORMAL,88,4.46,28,1
MELAKA,RURAL,F,7.1,21,117,15.3,NORMAL,99,5,26,1
MELAKA,URBAN,F,7.1,21.6,117,15.8,NORMAL,98,5.42,21,6
MELAKA,URBAN,F,7.1,18.8,117,13.7,NORMAL,91,5.34,24,5
MELAKA,RURAL,F,7.1,22.5,122,15.1,NORMAL,90,6.07,28.5,4
MELAKA,RURAL,F,7.1,17,107,14.8,NORMAL,71,4.71,26.5,1
MELAKA,RURAL,F,7.1,24,132,13.8,NORMAL,71,5,25,2
